,Date,Tags,Comments
0,2019-08-18,['hiking'],"This information is for hiking the 1.5-mile round trip hike to the beautiful upper waterfall in Farmington Creek Canyon. There is a trailhead in the loop of the old (now closed) Sunset Campground Loop. Please note, the only marker for the old campground is a large white sign forbidding camping (it is on the right-hand side as you drive UP the canyon.) You can park your car here at the entrance to the old campground. There are large rocks that block vehicle access into the campground, but you can walk in. Once you walk into the campground you will notice numerous tress cut down making it difficult to navigate through the old campground. Near the far end of the short loop you will see a trail with a trail marker for Farmington Creek Trail. This is the trail. The trail is a steep descent toward Farmington Creek. Once you reach the creek, there is an offshoot trail that you can take to the left (upstream) if you want to explore a little more, but the waterfall is a short hike to the right (downstream) from here. You’ll know it when you reach the waterfall. There is a rope that allows you to work your way down the steep rocky embankment to the bottom of the falls. We hiked in mid August, 2019. "
1,2019-07-29,['hiking'],"We drove all the way the windy gravel road and parked near what use to be a campground. The hike down to the waterfall was fairly easy with the exception that there are a few crossing trails and no markers. *follow the sound of water* It's a steep decline to reach the bottom of the big waterfall, but there is a rope to help you down and up making it very doable. The views were breathtaking, pretty much all shade/cover. We will definitely be back! "
2,2019-07-28,['hiking'],"Had a great time on this hike, was wanting a bit of a trail run, and could not keep it going on the way in, but great jog on the way back out. Scramble down to the falls was a nice chance of pace and tons of fun. The waterfall is beautiful. Definitely open for the first 1/2mile, then better shade coverage the rest of the way. On past the falls was much steeper for a nice challenge. Would definitely do it again"
3,2019-07-28,[''],Great hike even if you are out of shape like me!
4,2019-07-17,['hiking'],"There were a lot of crossing trails and not always signs telling me where to go.  All Trails did not have the complete trail either.  According to All Trails, I never made it to the actual Upper Farmington Creek Trail."
5,2019-07-10,['hiking'],"July 10, 2019: Did this hike with our two year in a hiking backpack and it was doable. The waterfalls are very pretty. The second waterfall has a rope you can use to help you down to it because it is very steep to get to it. I did not go all the way down to the waterfall because of our two year old but you can see the waterfall from the trail and it's pretty cool. The trail itself isn't too bad but there are some steep points and some spots are not shaded so make sure to bring sunscreen. There are some creeks you will have to cross and your feet will get wet. "
6,2019-07-07,['hiking'],"https://youtu.be/Lh9d10Kjq68

heres a quick video on what the area looks like!
Love it! I hike this all the time. 
Full of wildlife. Easy hike.
Youll Enjoy"
7,2019-07-06,['hiking'],"The road to the trailhead is narrow and windy. The off-roading vehicle can go fast on the road. Be careful. There are 6 cashed vehicles along the trail. It was a nice trail with several water crossings.
"
8,2019-07-01,"['hiking', 'no shade', 'rocky', 'scramble']","Couldn't find the Sunset campground trail head. That campground has been shut down and there were no signs marking it. Ended up driving back down and starting where the first little parking area is after the pavement ends. It was 4.09 miles total and 1295 ft elevation climb taking it from this direction. Warning that it is all uphill with very little shade this way. We saw multiple lizards and a snake. There were also a lot of flies and wasps.

There are wrecked cars in a few different places but some of them you have to hike off the trail to see.  There were three river crossings that my feet got a little wet in but the water was probably higher than normal. The first waterfall was pretty but the second one required holding onto a rope and going down to the bottom, which was hard on the hands because it was very steep. You really couldn't see a lot from the top of the second waterfall because of the trees so to get the view you have to go down the rope. The trail went further from there but we turned around at the roped waterfall. We lost our footing going back down quite a few times because of the steepness."
9,2019-06-29,['hiking'],The waterfall definitely made the hike worth it!
10,2019-06-28,['hiking'],"Great short how hike. The waterfall is beautiful, definitely I’d do it again. No many places for camping also, last weekend was vey crowded."
