,Date,Tags,Comments
0,2019-08-27,['hiking'],"Four beautiful lake in only two miles of hiking, then two miles back. Trail is very rocky and uneven in places. Good hiking boots and hiking poles make it an easier hike. "
1,2019-08-18,['hiking'],"This is our second time doing this hike with our kids. This time we had a 13, 11, 9 and 9 month old with us. We didn't make it to Hooper lake. The sign at the trail head is wrong, but it's a beautiful hike. "
2,2019-08-14,[''],"Great hike, a lot less crowded than Mirror lake. Prepare for rain. "
3,2019-08-11,['hiking'],No Camping. 
4,2019-08-04,['hiking'],"Decided to try fishing at Fehr Lake (8/3/2019).  We had a few nibbles.  The hubby and our middle two kids stayed there to fish and play in the water while I took my 16 and 9 year old on to Shepard Lake.  What a gorgeous trail winding through wildflower meadows, forests, and down a quite rocky trail to reach this second lake!  Last time we tried this hike we thought the little pond maybe 10 minutes before Shepard Lake was it.  This time we knew better!  Super satisfying to actually see the real thing (silly us!).  We had to hustle back up the trail since we needed to start our drive back to SLC by 5pm...plus, rain clouds were rolling in.  Tip: Always be prepared for rain in the High Uintas!  We actually made the hike back up to the parking lot a lot more quickly than the hike down to Shepard Lake and we’re pulling out by 4:45pm.  Lightning and rain are a great motivator.  I do think the footing is definitely more moderate than easy for a good portion of the hike, but the setting is so beautiful and peaceful.  The wildflowers are stunning.  We love escaping the heat of the valley for a day trip up the Mirror Lake highway.  One of these days when we have more time, we’ll go on to Hoover Lake.  "
5,2019-08-03,"['hiking', 'bugs', 'muddy', 'rocky']","I’m a middle-aged novice hiker so take this for what it is, but this hike is NOT EASY. The hike to Fehr Lake is easy, but if you go further it’s a STEEP climb down a dry but rocky creek bed.  And Shepherd lake isn’t all that great anyway. We didn’t even make it to Hooper lake and it was four miles round trip, despite a sign saying Hooper Lake was only 1.5 miles. The bugs started being a problem around 1:00 pm. A beautiful setting but not what was advertised. "
6,2019-08-01,['hiking'],Nice hike.  
7,2019-07-29,"['hiking', 'muddy', 'rocky']","Really soggy in a few spots, but clear alternates.  It looks like your walking down a rocky creek a few times, don’t worry you are still on the trails. A lot of sweet dogs on the trail.  Saw bugs, bug weren’t interested in us.  Had spray just in case."
8,2019-07-28,"['hiking', 'bugs', 'muddy', 'rocky']",A really fun and gorgeous hike. A few parts are slightly steep and rocky but definitely nothing too difficult and it is still kid friendly. It’s marshy and muddy in a few parts. This is one of my favorite hikes and the lakes are beautiful. I highly recommend it. The mosquitos are the worst I’ve ever seen this year so DO NOT FORGET REPELLENT! 
9,2019-07-28,"['hiking', 'bugs', 'muddy']","We didn’t hike the whole thing, but beautiful wildflowers everywhere! No snow except small patches on the mountain above us. Definitely buggy, so don’t forget your bug spray and long sleeves. Small patches of mud, nothing too troublesome. I personally thought it was in perfect condition for hiking. "
