,Date,Tags,Comments
0,2019-05-05,['off road driving'],"Super fun, easy trail. Didn’t make it all the way through this time, the dogs were hot and tired. But will definitely be back with a full day to see the rest!"
1,2018-06-19,['off road driving'],Very fun little off roading trail. Has a quite a bit of rocks and puddles so I recommend something with some ground clearance. Very pretty view up there!
2,2017-08-26,['cross country skiing'],"There is no longer winter access to this trail.  Farmington Canyon road is no longer plowed in winter, and you will find the gate locked early in the season just above Farmington Pond.  We love skiing around the Farmington Flats area, and we miss the winter access!  But it's still a fun little mountain biking loop when the road is open.  Our six year old had no problem with this trail, and was happy to see a little fawn along the way.  Beautiful area.  Narrow winding dirt road with steep drop offs."
3,2012-06-08,['hiking'],trail still closed...boo
4,2012-04-04,['mountain biking'],Trail is closed still but dirt road has some good hills and flat parts
5,2019-08-16,['hiking'],
6,2019-07-29,['hiking'],
7,2019-07-06,['hiking'],
8,2018-09-23,['hiking'],
9,2018-09-16,['off road driving'],
10,2018-09-11,['trail running'],
11,2018-08-15,['off road driving'],
12,2018-08-03,['off road driving'],
13,2018-07-01,['off road driving'],
14,2018-06-23,['hiking'],
15,2018-03-11,[''],
16,2017-09-04,['hiking'],
17,2017-07-30,['hiking'],
18,2017-07-02,[''],
19,2017-07-02,['hiking'],
20,2016-11-20,[''],
21,2016-09-04,[''],
22,2016-06-12,[''],
23,2014-07-07,['mountain biking'],
