,Date,Tags,Comments
0,2019-08-24,['hiking'],This is a short but fun and beautiful hike. We only saw two other groups on the way there and then a couple more hiking in as we were coming out.
1,2019-08-21,['hiking'],Great hike to do with your kids
2,2019-08-18,['hiking'],"The trail is open! Thanks to the Spanish Fork Ranger District for restoring this trail. There is definitely some noticeable burn damage from last year's fire, so it isn't nearly as green as I imagine it once was. But the waterfall is stunning! Footing is a bit tricky in some places. This is definitely one of my favorite trails. "
3,2019-08-12,['hiking'],"Trail is open! Thanks to all the hard work done to get it back. Lots of burned areas, but they rebuilt some foot bridges. Waterfall is still beautiful and it’s a quick and easy hike!!"
4,2019-08-09,['hiking'],Nebo loop is closed!
5,2019-08-04,['hiking'],"This trail is now OPEN after having been previously closed due to damages from the 2018 Bald Mountain Fire. I personally verified by driving up the canyon and as of 8/04/2019 several signs posted by the Forest Service in several locations along the Nebo Loop Road have been modified to show the Grotto trail area as OPEN. Still a fun and easy hike, but many burned trees along the mid-to-upper portion of the trail. Not as forested, green, and scenic as it once was along the trail but waterfall at the end remains about the same as always. "
6,2019-07-13,['hiking'],"One of my favorite hikes to take my daughter on - have been going on it together since she was 2 1/2. She’s now 6 and a great little hiker but she still enjoys this short trail because it’s filled with little “adventures”. Log bridges, stepping stones and a waterfall payoff at the end. Definitely recommend for families with young children. "
7,2019-07-13,['hiking'],The signs still say it is closed and beg people to stay out. 
8,2019-05-05,"['hiking', 'muddy', 'off trail', 'snow', 'washed out']","Road still closed. Path was muddy and bridges are washed out. If you venture on, the waterfall has a lot of water flowing over it right now."
9,2019-02-13,"['closed', 'snow']",road closed due to huge pile of snow on the way there
10,2018-09-17,[''],Loved this trail. Unfortunately it burned in sept of 2018. who knows when someone will go and replace all the wood bridges. Even if they did it will be a very sad sight for a while.
11,2018-09-11,[''],Beautiful hike. Not much water this time of year. Want to do this in the spring.
12,2018-08-21,['hiking'],"Fun little trail with the kids. Loose cows on the trail, so watch for the cow pies. I was surprised at the amount of liter on the trail. Packed out what we could. Beautiful area and easy hike."
13,2018-08-20,[''],Just a quick walk but a beautiful little spot.
14,2018-08-17,[''],It's very easy hike. My two year old loved every minute of it. It's pretty and we loved the water fall.
15,2018-08-09,[''],Short and sweet! There are a lot of bridges to help you along the way and make it easier for your kids.
16,2018-07-27,[''],Great in the fall during the Nebo loop.
17,2018-07-27,[''],"Always a beautiful, short hike along water.  The grotto is easy to access too.  Good for young children"
