,Date,Tags,Comments
0,2019-09-02,"['hiking', 'closed', 'scramble']",
1,2019-08-23,['hiking'],The Battle Creek side has a large section that is closed for construction for another week. We had to turn around halfway and come back down Grove Creek. 
2,2019-07-25,"['hiking', 'bridge out']",
3,2019-07-25,['hiking'],Loved it so much beauty and water.   It was challenging enough but not too challenging. Would recommend 
4,2019-07-20,"['hiking', 'bugs', 'muddy', 'off trail', 'washed out']","I have a lot to say about this hike having just completed it this morning:)...so while it’s fresh, I wanted to jot down a few notes so it can help someone. We definitely needed these tips so I’ll pass these on. Brevity nothing...

This hike is completely scenic and beautiful- 5 stars for the beauty, undoubtedly. Utah Lake looks like the Caribbean from up there and the mountains were lush with verdant greenery. It’s really oooh-awww stunning! 

My 3-star rating is a result, however, of the trail’s condition, clarity, and direction. My cousin and I are pretty experienced hikers and have spent a lot of time on mountains in California and Utah. This was by far the trickiest trail we’ve been on. It was soooo poorly marked in spots- we veered off a number of times, adding significant distance to an already longish morning hike. Be sure to use the all-trails app map for this hike!!!- you will need the gps assistance if you’re not familiar with this area. In the same vein, make sure your phone is fully charged bc you will use most your battery with the all trails map (says the girl who’s phone died..wa waaa). Even when using the app, we had to stop many times and triple check, cross the river twice (and it was definitely shin-deep, white water rapids stuff), we had to backtrack, and we had to really focus on not getting lost!! It would’ve been easy to do! 

Next: wear pants! We were constantly brushing up against long grasses and trees- the trail is quite narrow and you’ll be up against a lot of vegetation most the time. You’ll also want shoes with really good traction! The run off made for slippery terrain. 

Another tip: if you’re going alone on this trail, just don’t. Be sure to go in a group of at least 3-4 people. We had enough scares with wildlife that being in a bigger group would’ve been more comforting. During the middle of the loop, as you approach the meadow section, and then down towards the Battle Creek side, we passed only a meager handful of people- it seemed really lonely and barren of human life. That can be a good thing for some people and not a good thing for others:) I would definitely not consider this particular loop “moderately trafficked” all the way through. We were alone for a couple of hours without seeing anyone. 


This hike also felt more arduous than I expected. It was hard uphill and steep downhill with some level hiking here and there; so take more water and food then you think you’ll need. Stay hydrated, be smart. 

We also started on the grove creek side and ended at the bottom of Battle Creek and then walked the last 1.5 mile through the neighborhood back to our car. We were done with trying to figure out the trail by that point.  The hike up to Battle Creek seemed like a great hike for families and kids- the falls are huge and spectacular and it isn’t too far up. 
I would not take my kids up to Grove Creek Falls, however- the trail is narrow and extremely steep with huge slopes down the sides that could be a deathly fall. It would be a good challenge for tweens- but under age 11-12, it seemed too sketchy to me. 

It’s a hard loop and it made for a huge adventure; but be prepared, do your research, and just be alert the whole time. 


"
5,2019-07-13,"['hiking', 'muddy']",
6,2019-07-12,['backpacking'],"Great hike!  It is well travelled so expect to come across many other hikers.  Indian Creek Campground is great and convenient with the spring for water needs; however, if you want to get away from the crowds, keep hiking for a half a mile and you'll find all the flat country you want to find a campsite."
7,2019-06-30,['hiking'],"This is a great hike, but two comments: first, the entire loop is actually about 9.5 miles according to my Apple Watch GPS, and second, this hike is really too hard for younger kids. We hike a fair bit so we took all 5 of ours, ranging from 1 to 14 and there's no way our 4 year old could have hiked it all. Our 6 year old did great, but it was really hard for her. Very steep on the way up and the meadows are amazing but it will be a while before we do this again with our kids."
8,2019-06-28,['hiking'],"I went there with my family 3 weeks ago, my younger is 11 years old and loved the hike. You got be a little adventurous though, we’ve noticed most of people don’t make to the top. The first mile and half is heavily trafficked , after the waterfall it gets more and more empty. If you hate snakes that isn’t for you.?There is a “snake party” going on in the meadows, hahaha! 
Snakes apart the meadows are truly breathtaking. On my opinion the loop isn’t for family with small children otherwise you’ll have a great time!"
9,2019-06-23,['backpacking'],"For the record.. it’s beautiful, and I loved MOST of the Hike.  I’m really just confused as to why no one seems to acknowledge or mention the risks associated with this trail, particularly the top of the the grove creek side.  Maybe they review the trail without ever making it through the loop? The trail definitely has some hazards, with a risk of death/serious injury on misstep, and very little trail maintenance. Especially with a 50lb backpack on. NO WAY would I allow my young daughter up there with me. If I had my daughter with me, we would stick to the Battle Creek side and avoid the risk.. maybe even go all the way to Indian Springs... but still backtrack.  It’s just not worth the risk—there is literally a memorial there, and the trail continues to degrade, with loose shale, and seemingly no maintenance. "
