,Date,Tags,Comments
0,2019-08-29,"['hiking', 'rocky', 'washed out']",I took the upper trail this time. A beautiful hike through the scrub oak. Very steep. Significant erosion in many places. Would be better with switchbacks instead of going straight up the mountain. Didn’t see any snakes but saw 8 lizards and countless grasshoppers. Minimal shade—take lots of water! Would have given it 5 stars if it were in better shape and not as damaging to the natural landscape. 
1,2019-08-21,"['hiking', 'over grown', 'scramble']","A very peaceful trail. All the washed out bridges are back in place. Crossed the stream several times but never got my feet wet. At some points the soil was loose and footing was sketchy. Didn’t see any snakes. Just after the 2mile point (per the MapMyRun app) the trail became pretty hard to follow. I stopped when I got to the top of a granite boulder and came back. This trail definitely needs some attention to make it more accessible and safe. Some of the bridges could be refurbished and reinforced. Overall, a lot of fun and very peaceful. "
2,2019-08-04,"['hiking', 'over grown', 'washed out']",
3,2019-08-04,"['hiking', 'over grown']",This was a very very fun trail! We were on horse back and didn’t make it all the way in due to a very steep downside with very large boulders. Thankfully we have very trusting horses that were able to get us turned around! was insane! Very good workout for the horses though! It’s not for the weak hearted for sure! 
4,2019-08-03,['hiking'],This trail you get to remember what it is like to be a kid and explore different possibilities. At some times you need to seek the right way to keep going. It’s an adventure. 
5,2019-07-22,"['hiking', 'bugs', 'off trail', 'over grown', 'rocky', 'scramble', 'washed out']",The main trail has been over grown to the point where your can give your sells off the main trail easily. there are snakes in the Rocky outcroppings look out for that. also tics are common especially if you end up off the main trail. the river is nice and refreshing but definitely has Leeches be careful. 
6,2019-07-19,"['hiking', 'muddy']","The trail was a little bit hard to follow towards the end as it got narrow and a little muddy, but we did also go after it had just rained. It was absolutely beautiful and my 4 month old puppy loved it and was able to do it just fine. The water has been too high to cross the first bridge In the spring but now its low enough to be able to get over it. Anticipate your shoes getting a little wet. "
7,2019-07-11,"['hiking', 'muddy', 'off trail', 'over grown', 'rocky', 'scramble', 'washed out']","I would like to call this trail the hike through hell but I think hell would be more scenic. Trail is overgrown, no real waterfalls, muddy and trail becomes very undefined at times. I would not recommend this trail to anyone...even Satan. "
8,2019-07-08,[''],"Have hiked this trail a few times but this was my first snow hike on this trail.  Only made it up to the big rock with moss about 2 miles and didn't dare follow the foot prints that were heading to the left and almost straight up since I was by myself.  I wore my ice spikes.  A good workout,  gets the heart rate up.  Crossing over the logs was easier becuase the snow was packed on them.   Very beautiful in the winter snow.  One day I will hopefully make it to the waterfall that everyone is talking about.  Poles or walking stick it very helpful anytime of year for crossing the creek."
9,2019-07-06,['hiking'],"Multiple rattle snakes spotted on the trail, one of which bit a dog."
10,2019-07-04,"['hiking', 'bridge out', 'scramble']",
