,Date,Tags,Comments
0,2019-09-07,['hiking'],This is by far one of my favorite trails.  Definitely “moderate” rated.  Lots of inclines and valley. But so very beautiful and unique.  
1,2019-09-01,"['hiking', 'no shade']",
2,2019-08-05,['hiking'],This trail was difficult for me... probably even more so that Malan’s Peak. It was a great challenge and very rewarding to sit on top of a mountain!
3,2019-08-04,['hiking'],I loved this trail!
4,2019-08-03,"['hiking', 'rocky']","This trail is amazing. We started at the Cold Water side and left a car 22nd. It was 5.7 miles. It is narrow with steep drop offs at some points, lots of loose rock at parts as well. It’s has a lot of pretty good inclines, but also nice breaks with level or downhill sections. Great workout. Loved it. "
5,2019-08-01,['hiking'],I really loved the hike! Not too difficult and very scenic! 
6,2019-07-31,['hiking'],Great trail. Its a little steep but once you get into the canyon the views are incredible. Pretty much had the whole trail to myself.
7,2019-07-26,['hiking'],Pretty great trail to hike up the hard parts and run down the rest. Did the whole out and back in 2.5 hours. My GPS logged 9.2 miles.
8,2019-07-06,['hiking'],"This is an excellent hike as long as you’re aware of a couple of things. One: don’t miss the sign to turn right (uphill) at around one mile in. It’s on a tree and mostly covered. If you miss it you’ll end up scrambling over rocks on what looks like a trail but it’s not. Turn around if you find yourself in such a position. Two: after the switchbacks when the trail splits and you can go uphill or downhill,  go downhill to continue toward the canyon.

We went from the 22nd street entrance over into the canyon by parking a car at each end so we didn’t need to do the out-and-back. That makes the hike just about 4.5 miles and is definitely the way I’d recommend doing things, especially as the decline into the canyon is much less steep than the 22nd street side. 

Happy hiking!"
9,2019-06-28,['hiking'],great morning home to warm springs and back. 
10,2019-06-22,['hiking'],"I have been trail running for several months now, and this is by far my favorite trail. I try to make it every week at least once a week. It's a steep incline from the 22nd St side, but absolutely worth the pain. Hell of a workout for legs. I love flying on the downhill after losing all faith in my abilities power hiking up the  22nd street side, flying on the downhill is such a sweet treat. Some parts are rocky and gravely, if you aren't watching your step, you could easily roll an ankle. Love love love this trail. It's not crowded at all, even in the morning on gorgeous days. I think the steep incline right up front keeps most from going all the way to the canyon. Do take two vehicles or punch out the 8 miles from 22nd to O Canyon and back!! Takes a little while, but this hike improves my street running endurance. I feel faster, lighter, and more agile. I rock Arcteryx Norvan LD Gortex trail runners and they eat this trail. Do this trail, its gorgeous. One weird thing, Cicadas in the trees are eery as they make clicking noises and sometimes flutter by your head, if you're freaked by big flying bugs, prepare yourself, lol"
11,2019-06-22,['hiking'],"I've hiked this trail numerous times since I was a teenager. If you've never been on it before, be advised it is a very narrow trail. There are many spots where it's a steep dropoff, so watch your footing. Also, when you reach the top where the shack is, I recommend just turning around and going back the way you came in. I've always entered in from the 22nd street parking lot, but you can also begin from the Ogden canyon parking lot where Smokey the Bear is. I've also heard that people will park one car at each lot so they don't have to double back out. If you do double back, it's 8+ miles. Otherwise, it's only 4+. (I tracked 5 total from 22nd St. up to the shack and back) "
12,2019-06-09,['hiking'],"I started the Indian trail on the opposite side this week. It was a little steeper, and although different from the other side, still so beautiful. You get to cross a stream and it is well-shaded. 
Next week I would like to start on the 22nd side and park at the cold water side. By the end of the summer I will hike it out and back."
13,2019-06-05,['hiking'],"Great trail, fairly steep all the way up nice workout. "
14,2019-06-05,['hiking'],"We did only the first 0.7 miles fo this trail. I hike with my 3-year-old and 6-year-old as well as with some friends, so take that into consideration when weighing my review. This hike was not as much in the trees as I anticipated. It did make some of the younger kids nervous as it was steep and narrow and the drop off was pretty steep. However, I wasn't nervous for our safety safe. The view was nice and the kids loved to be able to see a waterfall. I would love to try it again when we can go a little farther."
15,2019-06-03,[''],Great hike that we complete on a yearly basis.  The first leg is steep but the views are rewarding.
