,Date,Tags,Comments
0,2019-09-01,"['hiking', 'rocky']",
1,2019-08-25,['hiking'],Was very happy with this hike.  Just the right amount of workout.  Went from the new Bloods Lake trail-head.  Huge moose at the lake and gorgeous scenery all the way.
2,2019-07-28,['hiking'],Hiked to  Lackawaxen Lake by way of the new Bloods Lake trail.  Bugs were pretty bad near the lake.  Wildflowers out.
3,2019-07-25,['hiking'],Parking lot closed with no parking on shoulder-big bummer. 
4,2018-09-03,[''],Great Lake hike with great views ! Steep incline but worth it. Dogs are allowed !
5,2018-08-18,[''],This app is great
6,2018-08-03,[''],"This trail was super steep. I think based on other trails around here, I’m feeling like this should be rated hard. Beautiful views and awesome lakes!"
7,2018-08-02,['hiking'],"Well... we went to hike Lackawaxen but not too far into the hike we came upon a lake. It was Blood Lake. I get my trusty Alltrails trail out and see we arent even on the right trail. However, this became a lovely loop to Lackawaxen. For 1 the Lackawaxen trail is STEEP at the beginning. My knees were killing me coming down it so depending which way you would rather do the loop think of those things. If you want to go up the steep part take the trail to the right that goes up a steep incline if you want to sneak up on Lackawaxen from Blood Lake take the flat trail to the left. Once at Blood Lake keep following the lake around and you will see a trail heading up. Take that up and you will come to a clearing and pass under power lines. Keep following that trail to Lackawaxen. If you see boulders you cross them and the lake is a stones throw away. I am glad we went the wrong way mostly because the beginning is steep and 2 the views! Yeah you get the views coming up but some of the best ones will be at your back. If you come up this way be sure to stop a lot and turn around."
8,2018-07-30,['hiking'],"There were some steep, loose areas that made it pretty challenging with a toddler in my carrier, but the breeze, some shade, and little traffic made it a wonderful Sunday. The wildflowers were bright, and the lake offered a great resting place. We wrapped around to Blood Lake, which was booming with people."
9,2018-07-26,['hiking'],Definitely on the harder side and it was swarming with mosquitoes but the views were incredible.
10,2018-07-09,[''],Fantastic family walk. Perfect swim lake and rope. Minimal bugs in middle of the day.
11,2018-06-25,['hiking'],"Amazing hike!! I was surprised it was rated a moderate hike though because the first mile and a half or so is very steep and was difficult, which is why I rated 4 out of 5 stars. Although completely worth it! The view from 10420 peak is indescribably beautiful and I would do it again tomorrow. I preferred Blood Lake over Lackawaxen Lake because of the mosquitos. Lackawaxen was swarming we couldn't stay more than 10 minutes. If you go down the other side of 10420 and get to the bottom, there is a trail going left and one going right, left is Blood Lake and right is Lackawaxen. Both are absolutely worth seeing but Blood Lake was the best part of the hike besides the view from the mountain top. 
Highly recommend this hike!"
12,2018-06-16,['hiking'],"We took this route and it was pretty challenging: From the trailhead keep right to hike up towards 10420 Peak, hike back down towards Lackawaxen Lake, then follow the power lines (keep left at the 2nd fork) towards Bloods Lake. Highly recommend bringing your dog!"
13,2018-05-31,[''],I would say this is more on the moderate/hard side with the huge increase in elevation during this hike on the way in and way out. So worth it!!!
14,2018-05-31,['hiking'],Still pretty snowy towards the top of 420 peak.  Lackawaxen Lake was surrounded by snow so I decided to head towards bloods instead.
15,2018-05-30,['hiking'],I highly suggest this route- I started at Guardsman's Pass saddle to park and then hiked up Clayton's peak-pretty rocky and very steep but short and the peak views are amazing then you keep hiking straight to go down the other side to Lackawaxen Lake then you can back track a little bit and instead of going back up the way you came there's a trail that is off to the right- keep going to Blood's Lake to make it a loop back up to Guardsman's Pass parking lot. I brought my dog and set up my hammock at Lackawaxen and then jumped in at Bloods Lake which also has a rope swing and its a popular watering hole in the summer. Very fun day!
16,2018-02-18,[''],"Less of a zoo than Blood Lake and more scenic in the bowl under Clayton peak. You can access it via peak 10420 and dropping down, or just continuing past bloods lake."
17,2017-09-21,['hiking'],"This is one of the few trails that dogs are allowed on in Big Cottonwood Canyon. This is an off-leash dog trail. There is a parking lot right by the trail head. The trail starts by the large sign that says ""Park City"" on it, which is past the porta potties. It's the only place on the trail that has poop bags, so if you don't have any on you, stock up now. You'll have to carry any used bags back to the parking lot because there isn't anywhere to dispose of them along the trail.

The first lake you encounter is Bloods Lake. If you go further, then you'll encounter Lackawaxen Lake.

About half of the trail leading to Lake Bloods is downhill, so getting back is a lot harder than getting there.

I had a really good time on this hike with my dogs. We went mid morning on a Thursday and only saw 2 other dogs and a few people."
18,2017-09-20,['hiking'],"This is a great hike to a beautiful lake that probably isn't visited often because of the degree of difficulty if you choose the route over and past peak 10420. You can also get to LL if you hike into Bloods Lake and go up the hill on the far side and then follow the power line to the right. Hiking over the boulder field close to the lake is a high point as well as the views when you get there. For those going the peak 10420 route, you may be able to bag Clayton Peak, as it is right in front of you before hanging a left down a steep slope to Lake Lackawaxen."
