,Date,Tags,Comments
0,2019-09-03,['hiking'],"This particular lake is more a small pond. We hiked it by making a loop from Twin Lakes. The trail between the two was beautiful and fun, with good views of the mountains around. I wouldn’t make Lake Solitude a destination hike unless paired with Twin Lakes. "
1,2019-09-02,['hiking'],Wonderful trail with a loop of Lake Solitude at the end. Mostly in and out of shade but there are a few spots of full sun. 
2,2019-08-27,['hiking'],"About 2.5 hr round trip with a 4 year old. Lots of  shade in the morning. Fairly straightforward terrain and a nice mix of plain dirt trail, some rocks, and some roots. Nothing particularly wet in late August. Trail ends at Lake Solitude, which is fine but this is more about the journey than the destination. There is a small cave on the east side of the lake. "
3,2019-08-27,['hiking'],Beautiful trail. Lots of wild flowers!
4,2019-08-26,['hiking'],"Started this one around 5:00pm. Very secluded trail, but it’s shared with mountain bikers. We went up and connected over to twin lakes. I’m surprised there isn’t a loop trail option. When I figure out how to add one I’ll get on it! The whole loop took 2 hours, but I’m not a speedy hiker. "
5,2019-08-12,['hiking'],Dry with a couple of wet spots. Didn't encounter any bugs. Went around 6 pm and didn't run into a ton of people once I hit the split for the lake. Well marked with signs and easy to follow. 
6,2019-08-03,"['hiking', 'bugs']","Beautiful sunset hike, flowers in full bloom. Well maintained trail, you will not be disappointed. Mosquitoes in full force. "
7,2019-07-24,['hiking'],Pioneer Day hike. Beautiful. Trail is well.marked and in good condition. 
8,2019-07-20,"['hiking', 'muddy']","Very nice trail and very well-marked which I appreciate! The lake isn't much to look at, but it's a fun destination!"
9,2019-07-17,['hiking'],"Excellent young family hike and perfect for out of town visitors that aren't used to the local ""easy"" hikes being so steep or the elevation! 
My three kids, 6 and under were all able to keep up.
Lots of offshoot trails but the actual one is very clearly marked the whole way. Get there early to avoid the silver lake crowds though!
Also, KEEP YOUR DOGS AT HOME.. love dogs, but follow the rules...and the 20 signs posted while driving up the canyon. "
10,2019-07-14,"['hiking', 'bugs']",Fairly moderate hike with an abundance of wildflowers. A handy pocket wildflower guide is your best friend. 
11,2019-07-13,['hiking'],"Coming from a middle aged novice hiker, this is a great trail. Lots of shade and not too steep. There aren’t any fantastic vistas but the lake is pretty and the trees are amazing. "
12,2019-07-10,['hiking'],"My perfect setting—hiking over rocks and boulders, inbetween swaying aspen trees as you approach the lake. Trees, rocks, outdoor hiking  in the mountains.  What’s not to love...."
13,2019-07-06,['hiking'],"Snow is now gone except for a few patches.  A little run off still on the trail if you continue up to twin lake.  Twin lake is definitely worth the bit of extra hike if you're able, much prettier lake and views. "
14,2019-06-16,"['hiking', 'snow']",Still lots of snow on the trail. You can't see the trail a lot of the way so make sure you've downloaded the map. Spikes not needed but poles were helpful. Will do this again in a few more weeks to be able to actually follow the trail.
15,2018-11-06,[''],"Did the hike just after sunrise on 11/3. We were the first ones out and back after a snowfall from the previous night, so we ended up losing track of the trail a lot. (Easy hike in the fresh snow powder, just hard to follow the true trail with so many side trails) The lake was completely frozen over but not yet completely snow covered. Looking forward to coming back in the summer."
16,2018-10-27,['hiking'],"Great hike. This trail has a bit of everything. Snow, mud, rocks, wildlife...and other hikers.

Sometimes the beaten path is slightly different than the actual red-marked trail in this app. I veered off slightly and wound up backtracking twice. Pay attention to the app so you don’t veer too far. 

I added the Silver Lake trail to my hike and finished at 5 miles flat. Had I not veered off I think I would have finished this hike at 4 miles."
17,2018-10-24,[''],"Beautiful hike! Quite snowy, but worth it! Hiked in the snow around the lake and then back down. definitely will go again!"
18,2018-09-24,[''],Really nice hike...saw a bunch of deer around sunset when we went...saw a few people on the way there and back but didn’t feel crowded at all.
19,2018-09-23,[''],went early morning hardly no one around and saw lots of wild life. It got very busy around 9am.
20,2018-09-22,[''],"Great hike, easy to moderate. With the weather being so dry for so long, not much of a lake. Did run into a deer and moose along the way, it was a lot of fun. Next time we will hike on to Twin Lakes."
21,2018-09-18,['hiking'],"Not busy. Pretty rocky in spots. Stay to the right on the board walk to find trail head. Lots of shade. Enjoyable, relatively easy hike"
22,2018-09-14,['hiking'],"Our first hike as a young family in the Wasatch Range, and we loved it! Perfect for folks looking for an easier hike. My wife and I were able to take our 5-month old on the entire trek using a Bjorn baby carrier without any trouble. She loved the mountain air!"
