,Date,Tags,Comments
0,2019-09-08,"['hiking', 'over grown']",
1,2019-09-05,"['hiking', 'blowdown', 'over grown']","Not a bad trail, it is 2 miles uphill to the pass. Mostly over grown and trees blown down. You can see where the foresters cut the fallen trees off the trail.  Once near the top you get beautiful scenery. 

Was confronted but two adolescent moose bulls."
2,2019-09-04,"['hiking', 'closed', 'muddy', 'private property']",ZzDavgsjJdScczxs VcfxQvzsyzwzmzcjx zxzdv cZCs xx2sq
3,2019-08-24,['hiking'],"Fun trail, shaded most of the way, so great after work hike!"
4,2019-08-22,['hiking'],"I have Pulmomary Hypertension I wasnt able to make it all the way to the top. it is very challenging for me but I love every step.

update. 
attempted it again, made it up to the saddle. HELL YA!!"
5,2019-08-20,['hiking'],"I enjoyed this trail. The incline increases as you go so it’s a good challenge. You’re surrounded by beautiful greenery and shade the whole way so that always helps. Because it’s deeper in the forest, definitely wear bug spray. I went on a weekday and only saw two other hikers while I was out. The only thing I didn’t love was when you reach the end, it’s quite overgrown which obscured the view of the valley. Otherwise no complaints."
6,2019-08-09,['hiking'],"I hate to overexpose this hidden gem, but it is a great trail because it is easy access from the SL valley and has little traffic on weekdays.  The wet Spring and recent rains have left the trailside lush and green.  "
7,2019-08-04,"['trail running', 'over grown']","Really like this shady trail, though it is definitely overgrown in the top section. Overall a good trail for a hike/run and minimal people. A bonus for me personally is that dogs are not allowed, which decreases the number of people on the trail and the occasional trail droppings."
8,2019-07-22,"['hiking', 'over grown']","Trail’s okay. Pretty crowded on the weekends but very accessible for something quick and it’s nice to get out and see something new. I’d like to do this again and take the Millcreek pass down for a change of scenery. After that, I probably won’t go back again. "
9,2019-07-19,['hiking'],This trail was great to get out of the heat of the city. Not busy and filled with wildflowers. 
10,2019-07-18,"['hiking', 'over grown']","like others said it's pretty overgrown but still easy to follow the trail. I would recommend pants since the brush was rubbing on my legs the whole time. the bugs were a little bothersome as well I would bring a bandana next time because I hate bugs flying by my ears. but I liked that it was pretty moderate, quiet, and had a nice view at the top"
11,2019-07-18,"['hiking', 'over grown']","Beautiful wildflowers, good climb and nice view at the top. "
12,2019-07-11,['hiking'],This is an okay trail - there are better ones around. The trail is a bit overgrown in places. Mostly shaded and gets a little steep in sections during the last half mile. Okay view through the tree down mill creek canyon. 
13,2019-07-09,['hiking'],Our three instruments said that the trail is one-half mile longer than the sign says.  It is beautiful.
14,2019-07-06,"['hiking', 'bugs']",Great wildflowers!
15,2019-07-06,['hiking'],"The wild flowers are spectacular now. Shaded and beautiful hike, we doubled our fun because we found it totally worth going up and over, down the other side, then reversed back. Took us about four hours. Parking is tight. Good idea to carpool."
16,2019-06-29,['hiking'],"This was my first time hiking the trail.  It was overgrown in some places and had several moderate inclines, but provided great views of the Salt Lake Valley at the top."
17,2019-06-28,['trail running'],"The road is open.
Vegetation is pretty dense and almost encroaching on the trail, but the trail itself is clear.  "
18,2019-06-08,"['hiking', 'blowdown']","The road is closed so add another 1.6 miles each way. Gorgeous hike, breathtaking views, few snowy patches and a section of large downed trees. We started on the Millcreek side on the Mt. Aire trail to the Lamb’s canyon trail and went all the way to the Lamb’s Canyon road trailhead and then back. Total RT 11 miles. Perfect day. No dogs allowed. "
19,2019-05-18,['hiking'],
20,2019-05-16,['hiking'],Fantastic view. Poorly marked.
21,2019-05-12,"['hiking', 'muddy', 'off trail', 'snow']",Largely snow covered but a beautiful hike; Lambs side lost the trail; Millcreek side not bad
22,2019-03-27,['hiking'],"Snow too deep after about a mile or so in.  Road still closed so ya gotta hike to trailhead.  Still beautiful and quiet up there, bummed I forgot my hammock at home cuz I coulda stayed there a long time."
23,2019-02-17,"['hiking', 'snow']","We didn't hike the trail.
We hiked the road.
With the gate being closed, you have to go approx 1.6 miles to get to the trail head. 
Even though we didn't get the chance to hike the trail, it was still beautiful. The road was well packed. Microspikes recommended but not mandatory. I used my snow shoes just for fun.
We were going to keep going past the trailhead but we ran into a young bull moose and had to turn around. 
The road is good for cross country skiers.
I would like to do the actual trail but will wait until the gate reopens."
24,2018-12-17,['hiking'],"The gate to the Lambs Canyon TH is closed for the season. It adds another mile or so onto the total distance. About a quarter till the end snowshoes would be helpful. We didn't use them but they would have been nice. Lots of sinking in the deep snow. We only saw 1 other person on the trail. Gradual climb, hardest part is towards the end. We were in snow so don't know what it would be like without."
25,2018-11-10,[''],"Humid and buggy in the summer. Nothing worth the hassle at the end. We did see a moose, but that's the only interesting part of the hike."
26,2018-10-18,[''],Had to turn around and drive to another trailhead because NO DOGS ALLOWED! But looked like a great trail otherwise.
27,2018-09-26,['hiking'],"Great steady incline. I don’t think I hiked it all bc I lost service. You go through some beautiful aspens, then up to a peak where you can see mountains all around. Excellent hike for the fall! Good trail for dogs too. Not crowded at all since it’s up towards the top of Millcreek."
28,2018-09-12,[''],Definitely on the hard side of moderate! Beautiful right now in early fall
29,2018-09-07,[''],Good hike! Incline all the way up for a good workout. Trail was easy to follow. I enjoyed this trail - nothing amazing but it was pretty and the leaves are just starting to change.
30,2018-08-26,[''],"I rate this a moderate to hard. It was steep indeed. Rewarding the entire way up. Smells amazing! We were able to escape the smoke from California And got some fresh air:):)
Great hike."
31,2018-08-24,[''],"It was beautiful but very over grown, loved  the babbling creek. At times the trial was very over grown and no where to take a break."
32,2018-08-14,[''],"Ended up being about 4.75 miles out and back
saw mama and baby moose near beginning, steep!"
33,2018-07-31,['hiking'],Easy going hike with some beautiful scenery along the way up. The saddle has a decent view of surrounding mountains.
34,2018-07-31,[''],"Beautiful views, but the overgrown bushes made it difficult to even walk through it. Does it ever get maintenanced? Also, saw a momma mouse and her baby about 25 ft away from me, so that was my cue to quietly descend and go back home. If you’re into those kinds of thing, then let this trail be the first on your list!"
35,2018-07-15,['hiking'],
36,2018-06-24,['hiking'],"Beautiful trail, especially at the beginning when the trail follows the stream. The wild flowers were gorgeous! While not particularly steep, this trail is more of an endurance game. The fallen trees mentioned in previous comments have been cleared recently. The summit view wasn't much to write home about, and there was nowhere to sit and take in the views (either at the top or on the trail). Definitely glad I went once, probably won't do again. :)"
37,2018-06-21,[''],Hard work on way up. But beautiful forest views and satisfying finish
38,2018-06-20,['hiking'],"The gate was open, and the trail was lush and green. A few downed trees are still on the trail. Hollyhocks and wild roses can be found."
39,2018-05-26,[''],The gate isn’t open quite yet but that just makes for a nice quiet trail and a good warmup before the trailhead. There was a bit of snow before the saddle and a few adventure obstacle logs across the trail. Beautiful hike today.
40,2018-05-05,['hiking'],Gate still not open on May 5th. Water running nicely.  Moderate grade up.  Nice and green right now.  A little wet. Some snow on trail. A couple trees on down across the trail. At about 1.5 m there are a couple trees down and a fair amount of snow.
41,2017-11-19,['hiking'],Gate closed so hike was longer than expected with a 6yo.  Quiet and forest trail is lovely.
42,2017-10-27,[''],"Gate is closed. Forest service has a sign saying “closed due to icy road conditions”, but this is BS. THERE IS NO ICE ON THE ROAD!!!!  Suspect it is closed to reduce hunter traffic in the Canyon.  I have been up this road several times when it actually is icy or snowy.  Hike up road 1.5 miles to reach trail head."
43,2017-10-26,[''],"A little muddy and icy in spots. Gate up to trailhead was closed, short walk up to trailhead. Great views"
44,2017-10-17,[''],Great hike up through the mountains.  The trail in many spots kicks up in grade and was kind of steep. This time of year the trail has a little snow on it and was a little icy. We took our 8 year old daughter and she did just fine.
45,2017-10-17,['hiking'],"Pretty wet, and muddy. Was still a beautiful hike, some parts had a little snow."
46,2017-10-01,['hiking'],"We only went in about 1.5 miles of the trail. Going up is a little strenuous but not too bad. We gained 1,100 feet in this trek, but going up was not steep, it seemed gradual. It was more of a dirt trail than a rocky one, which seems to make it less strenuous. The views of the mountain were great as we got to see fall colors today!"
47,2017-09-06,[''],We saw several moose!
48,2017-09-04,[''],luv this hike.. but I don't like bees... nope or red ants.. but other then thAt luved it!
49,2017-08-26,[''],Beautiful hike Love it I would do it every day if possible
50,2017-08-19,['hiking'],Awesome hike !!! A great workout
