,Date,Tags,Comments
0,2019-09-07,"['hiking', 'rocky']","easy trail. cool water for the falls. some shade as you come to it, all sun when you get to the falls"
1,2019-09-07,['hiking'],Trail looks way different from a few weeks ago. Prior to the big water/rock slide. Still pretty. But not like it was. Used to have less small rocks and sand. More dangerous now because the pebbles make it stick around the water. Hopefully the water will wash away most of the sand. We did seem many lizards this time.
2,2019-09-05,['hiking'],It's a very quick hike to the fall but includes a lot of climbing over larger boulders to get to the falls which can be more difficult at times. Definitely worth the quick hike though!
3,2019-09-02,['hiking'],"This was a fun trail. My son (2) and I veered to the left and found several spots to play in the water. It was also sandy and soft, maybe due to the slides. "
4,2019-08-31,"['hiking', 'rocky']",
5,2019-08-31,['hiking'],This trail is so short it hardly feels like a hike. We like to bring the kids here to rock climb. The creek provides some entertainment when they're not climbing. The soil is loose since the rock slide so I was a bit more cautious of where they explored this time around. We love Lisa Falls.
6,2019-08-28,['hiking'],"The recent mudslide has changed the landscapes a bit, big boulders that were there are all moved around now. Still a fun place for the kids to play in the water. There actually seams to be more room to play in the water now and it is easy to watch the kids as the play now too. "
7,2019-08-25,"['hiking', 'rocky']",Very nice small trail. Falls r great viewing and the accompanying water that flows downwards is nice to sit along and splash on face. Can follow trail south to make it longer.  Must go.
8,2019-08-25,['hiking'],Good for kids. I'd go hear just to sit and have a lunch with the family. 
9,2019-08-16,['hiking'],"Loved this trail with my 4.5, 2.5, and 9 month old. It’s worth doing just to see the impact of the recent mudslide. You can walk right up to the falls. Very easy for the kids to do and they loved playing in the water at the top. "
10,2019-08-12,['hiking'],Easy hike! There are no signs showing the entrance but you will see tons of cars (or use google maps and look for Lisa fls). The whole hike is uphill but short! Beautiful views! 
11,2019-08-11,"['hiking', 'muddy', 'rocky', 'washed out']","PSA On August 8th, there was a rockslide/mudslide that completely changed the course of the stream flowing out of the waterfall. The waterfall flows an extra 10 ft down roughly due to the large amount of erosion that occurred. I would avoid hiking above the waterfall until late this fall or next year due to the loose soil and the threat of another mudslide. You’re still fine to hike just to the waterfall, there aren’t any big obstacles. "
12,2019-08-06,"['hiking', 'rocky']","hike was great.  not sure I'd say easy because it's uphill from the very start and very rocky,  but it is very short so it's not too big a deal.  my 3yr old did with little help.  super fun!"
13,2019-08-02,['hiking'],"Fun small hike we added on to other hikes we did in Little Cottonwood Canyon. My kids (10, 8, 5, 2) all were able to do this, but my two year old needed a hand to do the water crossings and get over some of the big boulders. Next time we thought it would be fun to bring water shoes to play at the base of the falls. It took us about 10 minutes to get to the base of falls. Trail and parking is on the left hand side of the road if you're going up the canyon. There is no sign for the trailhead. "
14,2019-07-22,['hiking'],"Very nice trail great for kids, just had trouble finding it. There are no signs that point toward the trail. But overall had a great time!"
15,2019-07-16,"['hiking', 'rocky']",A little steep and rocky but doable! Gorgeous! 
16,2019-07-15,['hiking'],Beautiful area! Fun place for kids and to put a hammock up and relax. Lots of space for picnics! Lots of mosquitos. 
17,2019-07-15,['hiking'],"Very easy “hike”, exactly what we were going for. My 2 year old did it with a a little hand holding, and did awesome! Water falls were pretty, and just the perfect short hike for our 2, 4, and 6 yr old kids"
18,2019-07-15,['hiking'],"Very easy, rewarding hike. Water is just gushing down. Kid friendly, very short, rocky hike."
19,2019-07-07,"['hiking', 'rocky']",This was a super short hike but very enjoyable. The falls are beautiful. It’s a wonderful place to take a lunch and eat on a rock near the waterfall. Will absolutely come back to this. 
20,2019-07-04,['hiking'],Super quick. It’s not a hike and more just a quick walk to see a pretty rocky waterfall. Great to just get out of the couch and see nature. 
21,2019-07-03,['hiking'],"“Hiked” this Friday 6/28. Very very short (.15 one way). The falls were cool. Also, anytime you get to drive through LCC it’s cool."
22,2019-07-01,"['hiking', 'rocky']",Great hike! Perfect for kiddos/toddlers. Not very steep or long at all. The water helps cool down. We stopped along the way many times to see the water come down and play with rocks. Beautiful and great for a shady picnic!
23,2019-06-29,['hiking'],Fun for everybody 
24,2019-06-28,['hiking'],Super fun short hike to a beautiful unique waterfall! Easy for any hiking level
25,2019-06-23,"['hiking', 'rocky']",Short and sweet! Very beautiful hike. So if you park across the street where it says “little cottonwood hike” cross the street and it’s on the right. You will see the trail. 
26,2019-06-23,['hiking'],Very beautiful falls and really fun to walk through a small bit of water/pebbles to get to. Beautiful trees! Hiked this yesterday! 
27,2019-06-20,['hiking'],Big Reward for very little effort! Visiting from out of town and this was a quick and spectacular hike. Highly recommend! When you’re done walk across the roadway to the Little Cottonwood Trail to see some beautiful and powerful rapids!
28,2019-06-15,['hiking'],Super short hike up LCC. My kids do it in crocs. That’s how short and easy it is. Plus good for the water cross. Water running loud and fast this time of year!
29,2019-06-14,[''],This was a great hike. We went with 3 younger big kids and they loved it. The water fall was beautiful! We enjoyed that it wasn't to hard or far!
30,2019-06-09,"['hiking', 'rocky']","Busy, but great kid friendly trail with a nice rewarding waterfall."
31,2019-06-09,['hiking'],Took my 3 year old and he loved it. Super short! 
32,2019-06-09,['hiking'],This hike/walk is incredible. It is super short and so pretty. Right now is the best time for sure. Family friendly. 
33,2019-06-09,['hiking'],"With the wet spring this (and every other fall in UT) is flowing like Ive never seen.  Beautiful, easy, kid friendly hike.  You will get feet wet in freezing water but easy to traverse"
34,2019-06-08,['hiking'],Short hike. Slot of water coming down right now and very cold. But so beautiful.
35,2019-06-04,['hiking'],Beautiful but there’s so much water and runoff right now you have to cross water that’s deeper than ankle-deep (and freezing!) to see the falls. Wear water proof boots or get ready to have freezing wet feet!
36,2019-06-02,[''],"Super pretty. Easy, short hike. Waterfall is beautiful. I love the rocks. Nice spot to relax."
37,2019-06-01,['hiking'],Great bang for the buck. 
38,2019-05-27,['hiking'],Super pretty. Super easy. Interested to see what the raps and climbs would be like. Chains at the top. Hmmm.
39,2019-05-26,['hiking'],A quick hike up to see the falls.   Good for kids and people visiting from out of town.    Pretty.   
40,2019-05-19,['hiking'],Yesterday it rained pretty hard but it looked great this morning.
41,2019-05-18,['hiking'],
42,2019-05-16,['hiking'],Loved this! Quick hike with beautiful Falls! It was fun climbing some of the granite boulders. 
43,2019-05-16,['hiking'],No snow! Quick and pretty!!!
44,2019-05-05,[''],No snow on trail. Really really short hike but nice waterfall.
45,2019-04-28,"['hiking', 'rocky']",Easy going. Great views. Pretty thawed out already. No snow on the trail.
46,2019-04-05,['hiking'],"We went on April 4th, and there were still large patches of snow on the trail because of the precipitous winter.  I hiked it with my 5 kids ranging from 5 to 11 years old.  The snow made for an extra challenge, but the hike was short enough that it worked out fine and our kids loved it."
47,2019-01-04,[''],"One of my very favorite hikes for kids. Shaded and short, also the area right by the waterfall is shallow enough that my little kids can take their shoes off and walk around while they explore. Water can be chilly though so best on a warm day."
48,2018-09-30,['hiking'],Fun hike for our girls. A quick walk would be more accurate. We enjoyed climbing up above the falls and seeing the autumn reds and yellows.
49,2018-09-03,['hiking'],"Short and sweet! I wouldn’t rate this hard at all, there were plenty of young children and families coming and going. Beautiful walk and beautiful falls. We love this!"
50,2018-09-02,[''],Short but fun!
51,2018-07-29,['hiking'],"Our family loves Lisa Falls, but it is very disappointing that people have tagged the rocks. Very disgraceful!"
52,2018-07-21,[''],"Fun little hike, short and sweet! Rock trail so ankle support shoes recommended. 
Downside to the hike is when you make it to the falls there is inappropriate graffiti all over the rocks."
53,2018-07-21,[''],Super Easy with young kids.
54,2018-07-15,[''],Beautiful but the graffiti was disappointing on the boulders near the falls...
55,2018-07-11,[''],"Only hiked up to the base of the first waterfall.   Don't have any experience rock climbing or scrambling so I didn't even consider trying to get to the upper falls.   If I ever learn I will go back and attempt the full hike.   If you want a short, shady hike with a waterfall then try this one and just go to the base of the first waterfall.   It was pretty nice just sitting on the big rocks at the falls.  If you want some more hiking you can go across the road too and hike around..... pretty nice river down there."
56,2018-07-07,[''],"We found this fall to be very beautiful and peaceful. Up to the fall I would rate it Moderate. There are some steep areas, and it is a lot of rocks you have to climb. I was able to do the hike by myself with a 7 year old and a 4 year old. I would reccomend this hike."
57,2018-06-27,[''],Cool hike but nothing too special. Not sure we this is rated hard. It’s rocky but they are big and easy to get up. Somehow this is rated hard and Lower Bell Canyon is rated easy but this was way easier than Bell Canyon?
58,2018-06-26,['hiking'],"Good, shady, short hike to the water fall. 

The waterfall was neat, but the boulders were a little too big for my kiddos 5 & 3. The boulders also went down the side of the mountain pretty steep.

There was an INSANE amounts of kids (mainly older) pushing their way around. The topper was the graffiti all over! We maybe stayed 15 minutes before leaving."
59,2018-06-26,[''],"I was glad there were posts here to say how easy of a hike.it is to the bottom of the falls or I might have not checked out this amazing waterfall and passed it by.  It was a super short hike to the bottom, but such a beautiful unique waterfall.  The drive in Little cottonwood canyon was also just stunning.  just make sure you don't on off hours so you don't have to fight the crowds. Check out my post for a 360 degree visual of the hike.  https://shaunasadventures.blogspot.com/2018/06/360-adventure-little-cottonwood-canyon.html?m=1"
60,2018-06-24,['hiking'],Fun for the kids to play at the top
61,2018-06-23,['hiking'],Short family friendly shady trail up to the lower falls. Offers great views and lots of rocks to climb around on. My kids really liked playing in the water and climbing the rocks.
62,2018-06-22,['hiking'],"Nice shady, short hike to a pretty waterfall.  Fun for the whole family.  The graffiti this time was so disappointing!"
63,2018-06-09,['hiking'],Not much water coming over the falls this time of year
64,2018-06-03,['hiking'],Super short hike to waterfall. Perfect for families with kids. Shady the whole way with sun at the waterfall.
65,2018-05-16,[''],"My husband and I completed this hike on May 5, 2018. Maybe this is a fun, quick hike with a mildly impressive waterfall.  The trail is mostly walking up stairs, and a steep path, but it's over before you know it.  We didn't know that there was a higher waterfall... we just saw the first one!"
66,2018-05-11,['hiking'],Amazing hike!
67,2018-02-18,[''],I would not climb up the falls. That causes a large portion of the salt lake search and rescue calls... just look at it from the bottom. It’s still cool.
68,2017-10-15,[''],Pretty but not easy. Short doable hike to lower falls but the rest of hike is boulder climbing.
69,2017-09-11,[''],"This trial is cool but defiantly not family friendly if your trying to get the the end. First little bit to the initial falls is family friendly, everything after that is pretty much Rick climbing."
70,2017-09-05,['walking'],A very short walk into a decently impressive waterfall- a great option for kids!
71,2017-09-05,[''],"More like .25 miles to the lower pool (accessible without climbing gear). A fantastic place for the kids to stay lash around and explore. A favorite we come back to if we are short on time and want a pretty, fun escape in the canyons!"
72,2017-09-03,[''],Cool little hike with an amazing waterfall!
73,2017-09-03,[''],Easy five minute hike to lower falls. Dont attempt upper falls unless you have climbing equipment-my advice. Lots of kids and people. Beautiful but Im a hiker not a climber.
74,2017-08-13,[''],Not what we were expecting. Pretty once you reach the the falls though. If you want to go beyond the falls you really need rock climbing gear.  But nice little climb .  We went across the way to another trail that was really pretty once we were done with Lisa falls.
75,2017-08-11,[''],Very short hike.
76,2017-07-28,[''],5 star if you are hiking with children.   We took our 2 yo and 4 yo boys and they loved climbing over all the rocks.  I'd give it 2-3 stars as a solo hiker just because it's super short.
77,2017-07-25,[''],"Short, and beautiful!"
78,2017-07-23,['hiking'],Great short hike for families. It is super short with the fun waterfall at the end that kids can play in.
79,2017-07-22,['hiking'],The trail is very is easy to hike and the falls is spectacular!!!!!
80,2017-07-04,['hiking'],NOT 1.1 MILES. Only .1 to the falls and the trail Sutter is not easy. More like rock climbing. Beautiful lower falls just don't expect much of a hike.
81,2017-07-03,[''],A nice trip to a small waterfall.  A great opportunity for family members from sea level to experience the Wasatch
82,2017-07-02,['hiking'],"Great little hike with kids. The kids loved the waterfall and playing in the water.  It was shorter than expected,  nonetheless beautiful!"
83,2017-06-29,[''],"short hike! Wasnt hard for the kids, super cool water fall and great to walk around in and cool off."
84,2017-06-24,['hiking'],Took the kids. I'd say it's a so-so waterfall. Not much of a hike. Scramble over a few roots and boulders and you're there. I'd tack this on to another hike but I wouldn't do it by itself next time.
85,2017-06-24,['hiking'],This was a fun quick hike. We went off trail a little and that was super fun too.
86,2017-06-22,[''],Great waterfall! Short and easy! A great place to practice rock climbing! :)
87,2017-06-22,[''],Super easy. Super quick. great waterfall.
88,2017-06-22,[''],"Not really a hike, but a great photo op "
89,2017-06-21,[''],very nice hike. must do
90,2017-06-19,['hiking'],"A short, steep, and rocky hike with a BIG payoff!  Lisa Falls was beautiful, and the kids enjoyed playing in the water and scampering on the rocks.  Great hike for kids!"
91,2017-06-12,[''],Super easy hike
92,2017-06-08,['hiking'],Nice easy hike to take the kids. Beautiful waterfall to play around.
93,2017-06-07,[''],"Very short walk up to the falls. It is a perfect little nature walk, only around 1/4 mile to the falls despite what the hike says. Very nice and easy, the only problem is that there are almost always groups of people there. Great waterfall though!"
94,2017-06-06,[''],"So relaxing! Super easy, more of a sight seeing attraction and a place to take your kids but beautiful a must see."
95,2017-06-05,['hiking'],"This trail is amazingly beautiful at the top, but very dangerous. Most people only go to the bottom of the bottom fall, which is a short walk from the road but the whole trail goes to the very top waterfall. However, getting to the top fall is dangerous. You have to scale small cliffs and large rocks which were either very dusty or wet. You need good shoes. Be careful if you scale past the bottom waterfall! Last year alone I heard about two people falling, both were young adults, one died and one sustained a traumatic brain injury. Please be careful!"
96,2017-06-02,[''],"Short hike, great for kids. The waterfall is really pretty and my kids enjoyed playing in the water."
97,2017-05-29,['hiking'],Fun quick hike. We went on Memorial Day so it was crazy busy- I imagine it wouldn't be as bad on a regular day.
98,2017-05-29,[''],"Heavily trafficked, short hike. Beautiful falls with lots of water! Nice hike for kids."
99,2017-05-28,[''],"Great trail, beautiful waterfall but it was a little shorter than expected. None the less worth your time."
100,2017-05-28,[''],"Great quick hike, kids loved playing on all the rocks"
101,2017-05-27,[''],This was a beautiful hike. Just super short. This app says it's 1.1 miles but my tracker said 0.3. I was a little disappointed. I wanted something longer.
102,2017-05-24,['hiking'],easy. so much water since the snow is melting
103,2017-05-03,['hiking'],"The trail map is deceiving!  It's only about .1 miles to a lower waterfall which is beautiful and fun to climb all over the rocks.  We had fun hiking there with our kids, but we had expected to make the full 1 mile roundtrip hike and could not.  At the first waterfall you basically have to scale a steep rock cliff to continue and we could not do that with our kids.  It was a huge bummer, but I plan to return w/o them next time to see if I can make it to the Upper Falls."
104,2017-04-26,['hiking'],it don't get any shorter than this on a hike! waterfall was beautiful though and felt very secluded even though it's only a stones throw from the road.
105,2017-04-23,['hiking'],"It's a short and easy trail, but really pretty. You might want water shoes to cross a light stream. Good for kids."
106,2017-04-17,[''],Beautiful fall. Easy and short; good for kids.
107,2017-04-15,[''],Accidentally turned back at the first waterfall looking structure and missed out. Keep on hiking. As far as we got was easy with our kids too.
108,2017-04-13,[''],"very easy hike the falls is beautiful. just make sure you park on the left side of the road so you don't hit the bike trail, although it was pretty too. turned 1 mile into 3 mile hike."
109,2017-03-19,['hiking'],"Went with group of friends we surprised how shorty was, but really beautiful water fall. Then went over to little cottonwood trail to get our fill for the day. Will be back with family with this hike."
