,Date,Tags,Comments
0,2019-09-02,['hiking'],"Did this is a loop coming down by Twin Lakes. Really enjoyed the trail up and across the ridge line, bit as it comes closer to twin Lakes The trails is a gravel road. I would have much rather run on the trail."
1,2019-09-01,['hiking'],"Pretty easy hike actually, I would rate it as moderate. "
2,2019-08-30,"['hiking', 'scramble']",
3,2019-08-12,['hiking'],We started in Brighton to Catherine's Pass. Great climb up to Tuscarora and then over to Wolverine! Made it a nice loop by following the ridge to Patsy Marley and then connecting to the Twin Lakes trail. Great ridge hike with awesome views the whole way. We clocked it at around 7 miles and 2200 feet in elevation gain. 
4,2019-08-11,['hiking'],I clocked 6.86 miles and 2037 vertical. It took just under 4 hours with plenty of breaks and some time at the top. 
5,2019-07-28,"['hiking', 'bugs']",Moderate hike with a lot of mosquitoes!
6,2019-07-16,['hiking'],"Lovely hike and really could be classified as a more moderate hike. There is some very light scrambling... I’d say some minor Class 2 spots. But the end view of both Albion Basin and Brighton is spectacular! As of July 14, 2019... there are still a few patches of snow to walk across. Be careful, but they are still doable! "
7,2018-07-29,[''],"Took the Catherine Pass trail up to Sunset Peak, then swung down and came up this trail from the Pass. It's a great way to bag 3 peaks in one morning, and you get some of the prettiest views around!"
8,2018-07-29,['hiking'],"17500 steps. high traffic until you get to the spur leading to mt wolverine. ez pz until you get to that trail. it is hard to follow for a first timer and had to keep consulting the map. its steep at parts. lots of jagged rocks to climb over. the view is spectacular looking over little cottonwood canyon alta, brighton, solitude, guardsmans pass etc. I wouldnt do it again. I prefer trails with lots of tree canopy and this just doesnt have it."
9,2018-07-26,[''],Climbed from lake solitude to twin lakes pass and up wolverine cirque. Great views from the top into LCC and Brighton. The climb up wolverine cirque is not for people who are scared of heights.
10,2018-07-23,"['hiking', 'off trail', 'rocky', 'scramble']","Love hiking to the 3 ladies, I mean lakes. Decided to bag a peak this time - Mount Wolverine. Some scrambling over rocks but worth it - spectacular view!"
11,2018-07-07,['hiking'],"Amazing views. After Catherine’s pass, the crowd definitely thinned out. I went almost an hour without seeing anyone. The trail also gets a little confusing in a few places after that, but it’s there. I had to really look for it a couple times. A little bit of scrambling up rocks... or a lot. Lol. It was a great workout, too. The whole hike was absolutely gorgeous. I also love that it starts at Brighton where you don’t have to worry about finding a place to park! The total round trip took me four and a half hours."
12,2017-10-30,[''],"Great hike. A little strenuous on the Ridgeline decent above Twin Lake. Snow is scattered in north exposure, up to knees in some area."
13,2017-09-17,['hiking'],It's rated hard for a reason but it's worth it!
14,2017-09-11,['hiking'],"We started at Silver Lake, up to Twin Lakes. Patsy Marley, Wolverine, Tuscarora, and Sunset. Made it a loop and came down Brighton Lakes. We were going to do Millicent from Wolverine but we hiked down a ways and decided we didn't want to go that far off the trail. Next time! It was a fun hike, nothing technical but there is some rocks you can climb if you have to release your inner child. :)"
15,2017-07-16,['hiking'],"Hike to Lake Catherine and the saddle above it is fairly easy, but you're doing some light scrambling on a sometimes barely-there trail for the first part up to the peak.  Gorgeous views of both Big & Little Cottonwood Canyons and good shots of all the Brighton Lakes."
16,2017-07-01,[''],"Awesome trail! Did most of it, but too sketchy to go to the peaks. Was able to go to Sunset Peak instead. Lovely views from up there too! Still lots of snow, but would recommend! 5 stars, just didn't make it to the correct peak!"
