,Date,Tags,Comments
0,2019-09-02,['hiking'],Aggressive pit bull on leash.
1,2019-09-02,"['hiking', 'over grown', 'rocky']","Lots of shade on this hike. Would definitely recommend hiking shoes especially after reaching the waterfall. The habitat changed from rocky to soft sand every km, is a bit slippery on the elevation. Overall good hike, would recommend. "
2,2019-08-26,"['hiking', 'over grown', 'scramble']","Aug. 26 update. Nice and shaded, so a good hike for a dog in late summer. Stream bed is extremely dry until more than a mile in, so you may want to pack extra water for the pup. As others have noted, the real ""fun"" doesn't start until almost 1.75 miles when you see the Uinta-Wasatch-Cache National Forest wood sign. From there on, it's narrow ledges, steep slopes and eventually so overgrown it ceases being navigable. 

After the little waterfall about 1.85 miles in, I scrambled up the slope grabbing tree roots to hold onto with my dog (who also had a hard time with it) and got into the forest. You'll see a rock cairn at almost the 2 mile point but it is not clear which way to the meadow. I tried going left but hit the stream again and it seemed like a dead end. I walked back to the cairn and walked down a little bit (downhill) but got too spooked by the overgrowth to continue. It is that thick. If there are more experienced hikers, I think leaving a few cairns or tree markers would help the rest of us muddle our way to the meadow. That or a machete. "
3,2019-08-23,['hiking'],"Loved it, except for the fact that there were at least 5 dog owners that had not cleaned up."
4,2019-08-22,"['hiking', 'bugs', 'over grown']","We did this hike last sunday. we were told that it's usually filled with water however it was extremely dry  While the first 2 miles up were a great steep hike, after that the trail became very overgrown until you reach the meadow. There are not really any view points and once you got there it wasn't clear where to go. We eventually figured it out but gave up after how much overgrown brush we had to Wade through. we made it 3 miles out so only missed another .2 or so, however I don't think there was much more. Would recommend stopping at the meadow."
5,2019-08-18,"['hiking', 'rocky', 'scramble']","Shaded even at noon day. A few overgrown sections. Beautiful hike. Not many people for a weekend, especially past the 30 minute mark. Polite dog owners, with well behaved dogs. Hiking shoes recommended due to rocky terrain and scramble."
6,2019-08-17,['hiking'],"Rocky, only made it 1.5 miles in so didn't get the full view. Nice to go on side trails"
7,2019-08-10,"['hiking', 'over grown']",
8,2019-08-05,"['hiking', 'rocky', 'scramble']","As it seems like many often do, we experienced this trail on account of missing the loop. Frankly, I’m pleased we ended up taking this route. I’d describe this hike as moderate. Nothing major, but it’s uphill and rocky for much of the way. The views are great, you’re surrounded by forest and you get to see the vegetation change with the elevation. I’m definitely returning to this trail in the future. 

One note - We saw many dogs off leash, and the trail was littered with poo bags near the trailhead. Another reminder to observe proper etiquette and treat our public spaces respectfully."
9,2019-07-31,"['hiking', 'over grown']",
10,2019-07-28,"['hiking', 'bugs', 'over grown', 'rocky', 'scramble']",
11,2019-07-26,"['hiking', 'bugs', 'over grown']",Trail was amazing my only complaint would have to be that the trail is very over grown once you get deeper into the trail. Otherwise great hike and great exercise
12,2019-07-24,"['hiking', 'bugs', 'over grown']",Hiked from Wildcat ridge to the Neff Trailhead. 3.6 miles. Had one mile of driving before I shut off the recording.
13,2019-07-24,"['hiking', 'bugs', 'over grown']",Great trail for quick day hike.
14,2019-07-23,"['hiking', 'scramble']",
15,2019-07-23,['hiking'],"This one is steep and shaded and doesn't end in a summit (figured after a long time hiking). The path is well-trodden and crosses near a river. As you get farther up, the path becomes narrow and overgrown. A tree branch near the top has a little bell on it."
16,2019-07-20,['hiking'],"Wanted to do this hike with my dog and hubby. I seen it was dog friendly and noticed 95% of the dogs weren’t on leashes. We hiked a quarter of the way and then turned back because of all the dogs. 
Other than that the view and hike was great. 
Seen one snake.
"
17,2019-07-18,"['hiking', 'bugs', 'off trail', 'over grown']",
18,2019-07-13,"['hiking', 'bugs', 'over grown']","Hit the trail at 7am Saturday, July 13. Took 1.5 hours up and 1 hour down, and I saw about a dozen people on the way down. Trail is a beautiful climb through the woods, although mostly a moderate difficulty and not too tough. No point in going past the first meadow, .4 miles to the end, because this trail doesn't really have a summit."
19,2019-07-10,"['hiking', 'bugs', 'over grown', 'rocky', 'scramble']",It was so amazing!!! Our dogs loved it!!! My friend and I met at 9am and it was pretty shady. I probably wouldn’t start any later then that because the sun hits pretty hard after 11am. It is really buggy so definitely wear bug spray! I’m pretty sure I killed 5 bugs directly on my face. We went up for about 3 miles and decided to turn back. We wish we saw the meadow??? Is there a meadow?? Were we in the meadow the whole time?? Plenty of water for dogs throughout! Overall awesome experience!
20,2019-07-10,"['hiking', 'over grown']",
21,2019-07-10,['hiking'],"Surprised to find the trailhead parking lot half full on a Tuesday. Then we learned that most people -- especially those with kids -- head straight for the nearby creek in the woods. Apparently, it's a great place to play and cool off on a hot day. The trail was pretty nice too, as it's mostly shaded and it follows a creek much of the way. Our dog loved it."
22,2019-07-07,['hiking'],great for dogs very very steep not sure if I did the whole thing but turned around because it go so steep. Beautiful hike though.
23,2019-07-07,['hiking'],"Great trail to bring dogs, 
Also I found a pair of evzero Oakley sunglasses on the trail (7/6/2019). Email me with the colors of your lost glasses and I will get them back to you (rsgoldstein@hotmail.com) "
24,2019-07-03,['hiking'],"Hiked this Saturday 6/29. Definitely wear sunscreen and bring bug spray! Only the last mile seemed a little ridiculously steep. But I loved it! Such a great trail and the meadow is so scenic. Try to get there early 8am, midday 12pm, or late in the day, to be guaranteed a spot in the parking lot. It makes for a great spring conditioning hike!"
25,2019-07-02,"['hiking', 'bugs', 'muddy']","We did this hike last night and found it to be a worthwhile endeavor. Be prepared for several small stream crossings and lots of bugs! The pooches loved the water and shade on the trail. That said, I would strongly advise turning around at the pleasant meadow about .4 miles from the end point listed here as the actual end point is shall we say uninspiring. We found very little snow on the trail, but still plenty of mud. My hiking partner seems to have dropped his phone on the trail, so if you come across an iPhone SE please drop me a line at 312-550-6381. We did our best to LNT, I swear!  "
26,2019-06-29,['trail running'],perfect morning for a run. you'll have to navigate some streams but it's in great condition otherwise
27,2019-06-27,['hiking'],"LOVE this trail. Lots of cute doggos and friendly people. It does climb quite a bit in some areas but totally doable! The meadow at the top is so peaceful and pretty. There’s snow after about 2,900 feet of climbing-so you can’t easily access Thaynes Peak. I would suggest micro spikes right now. "
28,2019-06-24,"['hiking', 'muddy', 'snow']","Great trail for a day hike. Pretty consistent incline the whole way and 3-5 water crossings depending on your route. It's doable in trail runners but the snow at the top makes poles or spikes a good add on. I lost the trail a few hundred yards after the meadow but in my opinion there's nothing much up there but pines and a few aspens so you're not missing much at ""the top"". Great views from the meadow though! "
29,2019-06-23,"['hiking', 'snow']",This is one of my favorite hikes in Salt Lake City. In the winter and spring it feels like Narnia. The slush near the meadow is pretty grueling when the snow melts though. Make sure to pack your micro spikes! 
30,2019-06-22,"['trail running', 'rocky']",
31,2019-06-19,['hiking'],Watch out for rattlesnakes... 
32,2019-06-18,['hiking'],Still a lot of water in the crossings on June 18th. You will get wet feet. Good hike to get the heart rate going in the morning.
33,2019-06-10,['hiking'],"Cool trail, super dog friendly, but lots of people. If you cross the river a couple times the trial is much better but very steep. "
34,2019-06-08,"['hiking', 'muddy', 'washed out']","About 2 miles in, you reach some washed out trails. Had to cross water twice but worth it. Enjoyed the views & the shade while hiking. You follow the river both ways & cross it a couple times before it gets too crazy. I’ll be going back when the rivers are lower. Couldn’t cross without having to walk in water. Sandals or water shoes would have been ideal but the water was freezing."
35,2019-06-04,"['hiking', 'rocky', 'washed out']","This trail is fun with pups! Lots of water run off from a very snowy winter. Fast rushing water Blocked the upper part of the trail. If you don’t want to get your feet wet or you pups don’t like water, I don’t recommend this time of year. "
36,2019-06-02,"['hiking', 'rocky', 'scramble']",
37,2019-06-02,['hiking'],I didn’t go as far as I wanted based on time of day and at the second stream crossing I didn’t see anyway not to get my feet completely wet.  But will do again. Nice shade and not many people.
38,2019-05-29,['hiking'],Two moose encounters and lots of people. Not a good hike with dogs.
39,2019-05-19,"['muddy', 'snow']","definite challenge this time of year. I would highly suggest as another user mentioned, bring an extra pair of socks.  I would suggest a spare pair of wool socks. don't change them until you get passed the water flowing down the trail like a water fall.  there will be one more water crossing after that if you can manage to wait.  snow near the top is waist deep if you are falling through. love this hike, can't wait to do it again before the snow is all gone. "
40,2019-05-11,['hiking'],"Very steep, snow starts pretty quickly but it's well packed. My pup loved all the flowing streams. I had to stop around the 2.5 mile mark because it just got too steep and snowy. I will 100% be doing this hike again once the snow melts."
41,2019-04-30,['hiking'],Very steep
42,2019-04-28,"['hiking', 'bridge out', 'snow']","4-38-19 still snow from a mile in and up. Wet but doable even without crampons, just slow. Melting but seems like it would be there at least another week."
43,2019-04-21,[''],great dog stroll
44,2019-04-20,"['hiking', 'snow']","Went up today and had to turn back before I got to the end, the further up you go the worse the trail condition gets. Near the top, I think only a few have gone, so you end up post-holing in a couple feet of snow. I would recommend good waterproof shoes, microspikes, and poles if you go in the next couple weeks or so."
45,2019-02-25,['hiking'],"I hiked a portion of this trail on one of the warmer days so the snow was a bit softer in some areas. Right now it’s hard pack snow because of the hikers, sleds, skis and snowboards but was easy to hike with my microspikes. I’d highly recommend listening for the people skiing/sledding down the trail because you won’t see them first and if you have your dog with you they may not see the pup."
46,2019-02-16,['hiking'],"Steep trail, but great for sledding and hiking. I hiked it with only my Yak-Traks and was fine, though I wish I had brought poles."
47,2019-02-12,['hiking'],So fun to hike in the snow—for sure use crampons
48,2019-01-13,[''],"Gorgeous trail, and best of all dogs are allowed every day!"
49,2019-01-09,[''],Super pretty with all the snow. A bit steep. Fun to see people sledding and skiing down!
50,2018-12-24,['hiking'],"Awesome hike to bring along the puppers! 

:-) 

Great views and an exciting way to see the North side of Olympus. 

Should have brought my snowshoes, was tempted to explore the ridgeline ... 

Another time ..."
51,2018-11-28,['hiking'],It was a beautiful winter hike! Definitely recommend bringing yak-tracks or crampons for the slicker parts.
52,2018-11-20,[''],Didn't go the whole way but had beautiful views and a wide enough path for people to pass. Took my dog and everyone seemed very friendly and welcomed him with pets. Not all the snow melts so make sure you wear good hiking shoes with grip.
53,2018-10-20,[''],"Trail is definitely uphill the entire way, deserves its ranking. We went last week and it was pretty snowy at the top so it was very muddy and slick. Views were pretty but just okay. Meadow was full of snow."
