,Date,Tags,Comments
0,2019-08-25,['hiking'],easy hike along the stream. very pretty
1,2019-08-12,"['hiking', 'muddy']",Took our kids and everyone had a great time.
2,2019-08-10,"['hiking', 'bugs']",Great trail! Very clearly marked with blue flags in trees. Mostly shade and you can hear the Creek the whole way. Nice easy hike!
3,2019-08-05,"['hiking', 'bugs']","This little hike has it all. It is easy to access off a large parking area. There is a lake at the beginning, mountain views, colorful flowers, gorgeous running and still water. Although the trail is easy, there is a gentle incline with a few challenging spots that get the heart rate up. I would highly recommend bug spray, especially if going in the evening. "
4,2019-08-04,"['hiking', 'bugs']","Beautiful trail! I wouldn't call it a waterfall, but the creek was lovely and cool. Quite humid and buggy, but I would definitely recommend. There's lots of shade at the time we went."
5,2019-07-30,['hiking'],Great easy hike! Took a 5 year old who usually doesn’t do well on hike and He didn’t complain at all! Walk in nice shade along a river and is perfect quick hike for anyone! 
6,2019-07-22,['hiking'],"Nice trail, pretty easy, half hour in, half hour out. Pretty waterfall at the end. I usually hike solo but saw lots of families. Supposedly, dogs have to be on a leash. I saw four, all friendly but none on a leash. "
7,2019-07-17,['hiking'],Spectacularly beautiful hike! Lots of wildflowers! Lush green forest with a creek the entire way. Bring bug spray. Our dog loved it!
8,2019-07-15,['hiking'],"This was perfect for my 6 and 4 year old. They were able to walk the entire way. Largely shaded. A nice, cool summer hike!"
9,2019-07-08,['hiking'],This is our favorite family hike in the Uintas. Little kids can hike the entire trail. Beautiful hike right along the stream the whole way up with lots of places to stop and play in the water. 
10,2019-07-07,['hiking'],"One of my favorites, my kids love having the water right next to them. Not hard at all, had 5,7,13 years old and one dog. "
11,2019-07-06,['hiking'],mostly flat and pleasant listening to the river most of the hike
12,2019-06-25,['hiking'],"Nice hike and a great way to spend the early morning. Both my 6 and 9 year olds had no problems. It's hard to not be in a good mood with the water rushing by in the creek and every passerby you meet enjoying themselves. Plenty of little opportunities to investigate the water and flora and fauna, like the ants burrowing into the fallen trees, or the numerous water-tolerate species of plants, in all their different forms. 

"
13,2019-06-10,['hiking'],"This hike is a beautiful stroll that is easy and welcoming to everybody. The snowmelt has the water levels pretty high at some parts, so do keep an eye on your kids and pups. Otherwise, there is a good amount of shade and calm parts of the stream that make for a lovely time. The trailhead is right off of the road, so you can’t miss it."
14,2019-05-05,['hiking'],muddy and snow on the trail but a nice hike.
15,2019-05-05,"['hiking', 'muddy', 'off trail', 'snow']","Still lots of snow on the trail, as it melts will be more dangerous with the drifts. We managed to complete it without snowshoes but there were a few moments where the trail was unclear due to the snow. Watch for the marked blue diamonds on the trees, it made it pretty clear for us. We were the first ones on the trail since the last snow and had to pave our own way."
16,2019-01-20,"['hiking', 'snow']",Hiked this today with my 10 y/o on snowshoes. It was pristine and beautiful. We blazed half the trail in 15-18” of fresh powder. Once we dropped back in we didn’t hear the snowmobiles out at the main parking. Definitely do this again to see it in the summer. Loved.
17,2018-09-10,[''],"The hike was great. It was busier than I expected based on other reviewers not seeing anyone. I wish people would follow leash rules for their dogs, though. We met 2 people who had 3 large dogs all off leash. Not only does this make me uncomfortable, but it also can damage the environment. The dogs were going in and out of the creek where there were beaver dams built up, not to mention the fragile moss and small flowers at creekside."
18,2018-08-31,['hiking'],This is a easy but beautiful 2.2 mile up & back trail  The sound of the stream is always heard and for 90% of the hike you can see it.  The most difficult is the beginning section that had a 30 degree down slope and the same up slope at the end.  This section is only about 30 yards and can be slippery.  The trail is narrow but well maintained gained with a few clearings to rest and take in the great views all around.  The trail is 95%-98% in the shade this time of year.  Getting to the parking area is well described in the app.  Will do it again with additional guests.
19,2018-08-20,[''],My all time favorite! Perfect little hike.
20,2018-08-18,[''],Love this trail. Runs by a river/stream for most of the trail. The trail is pretty much shaded the whole way. Anyone in the family can enjoy.
21,2018-08-06,[''],Beautiful and perfect for kids!
22,2018-08-05,['hiking'],"Took the kids (3 &5) today. It was I think perfect for them. Steep in places but nothing they couldn’t handle. Hardly anyone on the trail, only one other family. The river follows for most of the time, which is nice for them to play in."
23,2018-07-07,['hiking'],"Two words: Bug Spray! There were also a ton of flies.  But despite that, this hike was incredible! My 5 & 3 year old did so well and loved every second! We hiked on July 6, and it didn’t feel too hot since it was shaded 80% of the trial. The water is amazing and the greenery is so lush! I’ve never seen anything like it. We live 1.5 hours away from this trail and we will be going again for sure!!!"
24,2018-07-04,['hiking'],"Fabulous short hike. The trail follows a beautiful stream and ends at a little waterfall. We had our dog and 11 and 9-year old kids, and they loved it. Good for all ages. Not many mosquitoes but a few flies. Overall- great hike!"
25,2018-07-04,[''],"I was expecting more based on the reviews I read, so I was somewhat disappointed after finishing the hike. Nice view of the water flowing over the rocks at the end but overall I wasn’t entirely impressed. Some wildflowers scattered along the trail. Most of it was shaded though which was nice. We saw a huge heard of sheep being herded down the mountain across the creek on our way out which was probably the most entertaining part."
26,2018-07-01,[''],Probably my favorite hike for kids. Make sure you stop by Mountain-Hi (in Kamas) for lunch and a milkshake!
27,2018-06-28,[''],"Great trail, beautiful and easy enough for our 9 and 4 year olds!"
28,2018-06-18,['hiking'],"Absolutely gorgeous! A little bit of everything that makes me smile. Flowers, water, trees, dramatic rock formations, aspen trees and small meadows."
29,2018-06-18,[''],"This is a gorgeous, well-marked trail great for kids. Thick, healthy flora provides shade most of the way."
