,Date,Tags,Comments
0,2019-05-14,"['hiking', 'snow']",
1,2018-10-06,['hiking'],"Not a bad hike, definitely worth the views. Cold and windy at the top, great way to spend the day in the mountains. Took 6 hrs 40 mins with spending about 30 mins at the peak."
2,2018-07-15,['backpacking'],"Only did 9 miles of it.  I was pressed for time.  Saw bobcat paw prints.  Get up the switch backs quick, limited shade."
3,2018-06-05,['hiking'],"Be very careful of rattlesnakes! I almost stepped on two of them, one on the way up, and the other on the way down."
4,2017-07-01,[''],
5,2017-06-22,['hiking'],"I did it on Father's Day, started at 5:30 am. It was a great hike even though unable to get to the peak on Ben Lomond. Was stopped by snow and ice about 850 feet from summet, tried to go around to no avail. Got back to parking lot at 12:45. I've been to the peak going up back way several times. I will try it again for sure."
6,2017-06-12,['hiking'],"Love this hike! I did it for the first time when I was 11. I've backpacked it plenty of times but my family hikes it every Memorial Day. We always leave before the sunrise and get back around 4 with plenty of breaks. A couple of us for the last couple years have hiked to the peak of Ben Lomond and then gone straight down the face. We've found a natural spring, (where we always fill up our bottles) a raspberry patch and 3 mines that are fun to explore. If you want additional details shoot me an email. Cottrell.charlie33@gmail.com. Definitely be prepared with good shoes and lots of water. The views from the peak are amazing!"
7,2017-06-07,[''],"At the moment there are still some big snow patches blocking the trail in some spots, so be careful!"
8,2016-11-06,['hiking'],"This was probably the longest and hardest hike we have ever been on. We are pretty regular hikers we go on 2-4 hikes a week but this was super intense. The top and final switch backs up the side of mount Ben Lomond were brutal. Based on reviews we figured we would be okay starting at 10 but we ended up stuck on the mountain unprepared night hiking. This is not the best mountain to night hike due to mountain lions and bears but it was absolutely gorgeous seeing the sun setting on the way down. I would honestly suggest taking camping items in case you do get stuck like we did. I would have rather camped out then walked back in the dark!! Overall beautiful views of the city of ogden and eden as well as Willard bay, antelope island, and salt lake. You truly will feel in top of the world."
9,2016-09-15,['off road driving'],"Absolutely love this trail; we will often begin at Surfers beach and ride to Lewis Peak then over to No Ogden Divide and back to Surfers Beach. Its around 22 miles but so much fun. The trails have been widened which makes it not as nerve wracking as it was in previous years.
We've discussed making a night of it a couple times, but haven't yet. There are a few spots to do this though.
Everyone is always polite, dont go on a Saturday or holiday though. We rode on Labor Day and it was very busy....still fun, just busy.

Does anyone know if its maintained by a club or if its all Forest Service? Id love to help out."
10,2016-09-01,['hiking'],"It's a long, demanding hike but worth it!"
