,Date,Tags,Comments
0,2019-08-07,"['hiking', 'over grown']","Overall, great hike. I mean always nice to get out and in the mountains. However, the top of the hike just meets up with desolation trail, so if you plan to go all the way up to the top of porter fork, I would make the loop back down on desolation. (I did not do that but wishing I maybe would have). If you are just looking to do porter fork, I would just go up to about 3 miles. That is where the view is and it gorgeous! It was just me and my dog and I saw no one on the trail. 
"
1,2019-05-25,['hiking'],Great hike. Mostly paved trail. Snow at the top. Beautiful scenery. Fun with kids and dogs (on dog days). Watch for the occasional car.
2,2019-01-18,"['hiking', 'snow']",
3,2018-11-04,[''],"With the dog, just a long street to walk up to the trail, than trail is steep and not fun to come down, stopped half way on trail . Least favorite so far."
4,2018-09-27,[''],I love this trail as it is very beautiful and seldom used. It is nice seeing the cabins and using the road through the neighborhood.
5,2018-07-15,['hiking'],"Loved this trail today! Walked about 1.5 miles up a paved road from Mill Creek Canyon Rd to the trail head - the road goes through the woods and along a creek, and has little traffic. The lower part of the trail continues through the woods, with nice shade for a hot summer day. The upper part starts criss-crossing alpine meadows, more sun-exposed and full of wildflowers at this time of year. Also lots of butterflies all along the trail. The vegetation got dense alongside the trail in the meadows, but not to the point that it was difficult to follow the trail, and I felt fine in shorts despite plants rubbing against my legs. Also quite a few flies but not to the point that I felt motivated to put on bug spray. The trail meets up with the Destination Trail, so a loop is possible (would need to walk a mile back up Mill Creek Canyon Rd to the Porter Fork Trail if hiking down Destination). Looks like a loop would also be possible with Bowman Fork Trail. On the trail part of Porter Fork, on the way up (starting at 10:30 am) crossed paths with a man and his dog, and a group of four people (they told me I was the first person they had seen), and on the way down crossed paths with a couple and their dog, so very lightly trafficked even on a summer Sunday."
6,2018-06-20,['hiking'],"The first mile is paved but pretty. We turned left at the fork which may not be the official trail head.  It takes you past two more homes. You enter the trail at the end of the street on the left side of the red cabin. 

The trail is beautiful and meanders with the river. It was overgrown but not crowded at all. It is a pretty steep hike at times, so be prepared to huff a bit. 
 
The trail leads to an overlook and you can keep going up to the left. It took us about 1 hour and 20 to get to the overlook, including the paved section. Really gorgeous hike! I also snowshoed here and it was fun!"
7,2017-10-31,[''],Paved road not too bad- most cabins shuttered- at 8 am saw no cars. Trail was good until about 8900 ft when it was too deep snow and slippery for me. Saw nobody else the first 4 hours of my hike.
8,2017-09-06,['hiking'],"9.5.2017 | 30lb backpack | Recommend: Sunscreen, Long Pants, Bug Repellent

This trail should be split into the road portion and the actual hiking portion. The majority of reviews (and even my first experience) are about walking the 1.5-mile paved road. The trail to the pass is another 2 miles, making this a 7-mile round-trip affair.

The actual trail starts by crossing a river (or dry ravine depending on season) and continues through forest and beautiful aspen groves. Eventually, you emerge into overgrown basin meadows with striking cliff views (long pants and bug repellent here)! The trail eventually connects with Desolation Trail and that will lead you up to the pass.

Unfortunately, the air was smoggy/smokey so views weren't as good as they could've been but I was glad to have finallly seen this trail in all its glory. I believe you can follow the ridgeline to Mt Raymond which I will definitely go back to attempt. 

This is a hard trail (made harder by my pack) and my GSD and I were absolutely beat by the end of it. Take plenty of water as there's no access after the initial river crossing and enjoy something a little different!"
9,2017-08-19,['hiking'],"This is great for a quick workout.  A creek runs along the road, which is always cool. The road is shaded for much of the day, which was great during summer.  I've been 5 times this summer and never saw more than 2 cars and 4-5 people on the road.  I haven't gone all the way up the trail, but mile and a half or so I did go was a nice mix of steeper and less steep climbs.  It's also great for a snowshoe in the winter.  I found it more crowded during the winter months than summer and there is often no parking near the trailhead in winter."
