,Date,Tags,Comments
0,2019-09-02,['hiking'],Very easy hike - in and out with a little loop around the lake. Very scenic. I would give it 5 stars but the beginning of the trail was rank with dog/human feces and there was dog waste just off the trail. 
1,2019-08-31,['hiking'],"Great simple hike to a gorgeous lake with ideal camping sites. We caught brook trout in the lake and ate them for dinner. There is an awesome hike that starts from here, lofty lake loop, which was a nice day hike for our trip. Would definitely do again."
2,2019-08-24,['hiking'],A truly easy hike in a gorgeous setting. Completed 8/23/19. Very few bugs. Not much shade but the temps are so cool it doesn’t matter. Ruth lake is beautiful. Will definitely do again!
3,2019-08-22,['hiking'],"My new favorite hike! Wildflowers we gorgeous a week ago with plenty of life left. My kids 10, 8 and 5 did this trail easily and even my 2 almost 3 year old could do most of it, just a lot of help over boulders. Next time I'm in the Uintah's, I plan to do this again!"
4,2019-08-18,['hiking'],Beautiful right now! Super easy for kids.
5,2019-08-07,['hiking'],Really great short and beautiful hike ! A lot of bang for your buck !  The drive is worth it !! 
6,2019-08-03,['hiking'],Beautiful and easy hike! Lots of wildflowers blooming right now! Pretty reflections on the lake. Be sure to bring mosquito spray. 
7,2019-08-02,['hiking'],Beautiful trail that is great for kids.   Nice lake that is fun to fish. 
8,2019-07-26,['hiking'],July 26th late bloom season but the flowers were amazing!! It was a rainy windy day so keep the bugs at bay but I would imagine if it had been sunny and nice out they would have been pretty bad!
9,2019-07-22,['hiking'],This trail had beautiful meadows and a wide array of wildflowers. Great hike for beginners - not too steep. We made it to the lake but didn’t walk around the lake because of the mosquitoes. Bring deet - they’re relentless! I’d definitely like to go backpacking here when the mosquitoes aren’t as bad. 
10,2019-07-19,['hiking'],"Glorious hike! Beautiful alpine meadows, surrounding breathtaking views. Not muddy at all and hardly any bugs. Brought the hammock and relaxed while my husband fished and caught a lovely little trout. Not busy at all. For such a short hike, it packs a punch! Hard to beat the views! "
11,2019-07-11,['hiking'],Beautiful trail. Would be great for day hike. Too many loud campers for an overnight stay.
12,2019-07-06,['hiking'],Very accessible!
13,2019-06-30,"['hiking', 'snow']",
14,2019-06-30,"['hiking', 'blowdown', 'bugs', 'muddy', 'rocky', 'snow']",Great trail.  Still snowy and wet.  Will come back again. 
15,2019-06-29,['backpacking'],Great hike! We ended up backpacking and staying one night at Ruth Lake.  Wasn't too busy for overnight campers. Peaceful & beautiful area. The water was lovely! The boulders were a bit rough at the beginning of the trail with the overnight pack but was manageable for the kiddos and beginners in our group after that. 
16,2019-03-15,['hiking'],"Beautiful, fairly easy trail with a lot of places to get off the trail and explore. Fantastic photography opportunities as well. I’ve taken the dogs and kids as young as 4 and always enjoyed this hike."
17,2018-10-28,[''],"We loved this trail!! It is fairly easy the whole way. The steepest part is right at the begin where there was a little bit of snow, not much more than an inch and the rest of trail was very good. You get to the end and Ruth Lake is so so gorgeous! Not a long time commitment and so wonderful!"
18,2018-10-24,['backpacking'],Good backpacking starter trip for the young kids.
19,2018-09-22,['camping'],Short hike. Lots of people. Really pretty too. My 6 year old did it no problem carrying his own pack.
20,2018-09-10,['backpacking'],"Took my boys on this trail. It was a great beginner trail for them to get started on. We went on a Thursday evening and there was only one other group of campers on the other side of the lake. We found a good spot in the trees and setup our hammocks. The weather was beautiful and surprisingly, the mosquitos were minimal. I would definitely come here again."
21,2018-08-22,[''],"As someone who doesn’t love steep or strenuous hikes, this was perfect! It’s a rockier trail in the beginning but pretty flat and you get to water really fast. Brought the dogs who had a great time swimming as we made our way around the lake. It smells like pine and there were Lilly pads on the lake and a beautiful mountain backdrop! Also super secluded, although we went on a Sunday afternoon. Honestly loved it and would happily return!"
22,2018-08-21,[''],Beautiful when the flowers are blooming early summer/Late June
23,2018-08-15,['hiking'],It was a great trail for my kids and us to walk. Did explore a lot around the lake and a ton of rocky areas my kids climbed the afternoon away.
24,2018-07-24,[''],"This trail is short and easy, you can make it longer by exploring around the lakes. Great for dogs and kids- or out of towners:)"
25,2018-07-04,[''],"One of my favorite hikes, once you get past Ruth lake you encounter very few people and the scenery is breath taking!"
26,2018-06-23,['backpacking'],Short hike but you still enjoy a remote feel and views and have additional access to Naomi and Hayden lakes adjoining Ruth.
27,2018-01-26,['hiking'],Beautiful hike. Did not catch any fish but had a great day!
28,2017-08-26,['hiking'],"So this is only 3/4 mile to the lake. If you walk around the lake then you can clock more miles. It's definitely kid friendly. The terrain is mostly rocks and small boulders, which is not my favorite, but there was still a lot of green. The lake is one of the most beautiful I have seen. I walked around the right to the far side and I could have just stared all day. Wonderful views! Quite a few people camping and fishing. Best to go mid week after summer vacation."
29,2017-08-19,[''],"Great for little kids and dogs, good place to backpack in and camp with the family. It's getting cold overnight this time of year."
