,Date,Tags,Comments
0,2019-09-01,"['hiking', 'over grown', 'rocky']","We went on this trail 8/31/2019, the Saturday before Labor Day. We wanted a hike that wasn’t crowded and we got it. I’m willing to bet that you’d see no one on a regular weekend. This hike is tough. Another reviewer described it as “sustained elevation gain.” That’s the perfect description. It’s pretty much straight up the whole way. It’s beautiful, mostly shaded, and worth it but definitely be prepared with water and time. The last push, not quite a mile, before the lake(more like puddle) is full sun but there’s a lot of shade near the puddle."
1,2019-08-18,"['hiking', 'bugs', 'over grown', 'rocky']",
2,2019-08-10,['hiking'],"8/10. Started at 8:30, wouldn’t start later than that took about 3:45 to get up. 7 hours total on the hike and that was staying at the top for about 30 minutes. Hike was a beast. After about 4 miles the trail opens up and is super beautiful. Only saw 5 other groups on the trail. Hiking by myself until the last mile when I saw some other groups. Amazing view from up top!"
3,2019-08-03,"['hiking', 'over grown']",
4,2019-07-28,['hiking'],"Beautiful hike! We did it round trip yesterday in 6 hours and 19 minutes. We went pretty fast but spent about 25 minutes on the peak because it was really good weather. The snow is basically all gone now. It’s a very doable hike, but definitely don’t underestimate it!"
5,2019-07-28,['hiking'],Amazing hike. Did it on a Saturday and saw very few people. Didn’t see anyone till we began our descent. Tough but doable. Plenty of shade for a good chunk of the hike. Very green and absolutely beautiful. The snow is basically all gone.
6,2019-07-25,['hiking'],"We luckily did it when it was overcast outside. Extremely steep! We didn’t bring enough water, but other than that it was absolutely amazing! Even saw a moose and her baby 3/4 the way up! "
7,2019-07-23,['hiking'],Hard but Good.
8,2019-07-22,"['hiking', 'bugs', 'over grown']","I did this on 7-21-2019 and was blown-away and pleasantly surprised.  1st thing, the map doesn't quite take you to the TH, keep going from where it cuts off and you'll end up at the parking lot past the camp ground. You then will start the trail and take a left and cross the log to begin the trail (007). This trail is very intense, challenging even to me and I hike 3 times or more a week. I'd recommend a lot of water and wearing pants due to some overgrown spots. Snow was mostly gone, just one path towards the summit. This trail was jaw-dropping, peaceful, and sparsely populated.  There are butterflies everywhere and you can enjoy the views and sign the guest book at the top. It took me about 6 hours round trip, going at a decent pace. You could go faster if you trail run. I saw one small black bear as i headed down by the first mile marker. No problems, the bear kept their distance. Do this hike! no cell service until the top (tmobile). "
9,2019-07-10,"['hiking', 'scramble', 'snow']",Definitely a tough one. I didn’t think it was too bad until the last mile. That last mile is brutal and there’s still a good amount of snow that I had to scramble across. The views are worth it though. You can see for quite a ways. I lost my license up there so if you see it let me know haha
10,2019-07-07,['hiking'],"This trail is beautiful! Once you've made it up about 1/2 mile, you don't really see other hikers. Very steep in areas,  but well worth it for the scenery.  May be my new favorite trail in Utah County. "
11,2019-07-07,['hiking'],a great high output hike I would suggest some good hiking boots. it's beautiful the whole way up
12,2019-07-07,[''],Challenging hike.  Sustained elevation gain for 5 miles. There are still snow fields found intermittently along/across the trail you’ll have to traverse but the views are spectacular! Be careful and have fun! 
13,2019-07-07,"['hiking', 'rocky', 'snow']","Pretty intense hike! We made the summit but had to traverse through some snow here and there. The view was awesome! Totally worth it, but I’m definitely going to be sore tomorrow!"
14,2019-07-04,['hiking'],"Nice hike through steep forest with stream into a small lake basin, still some snow so we skipped the peak - its nice, but its no Mt Timo IMO "
15,2019-06-30,"['hiking', 'bugs', 'rocky']",Such a beautiful hike up a small stream and through beautiful mountains. This hike is just as amazing as hiking mount timp as far as scenery goes. 
16,2019-06-23,"['hiking', 'muddy', 'rocky', 'snow']","Really good hike, a bit steep at times but worth the climb. After reaching the lake there is a lot of snow, and the trail disappears so you have to do a bit of trail blazing yourself through some scree and bushes. The summit is beautiful and worth the hike. Just be ready to slide in some melting snow and get a bit wet. Muddy at times, but still a doable hike! Worth the effort! "
17,2019-05-25,"['hiking', 'muddy', 'rocky', 'snow']","Super fun, steep hike. Beautiful scenery. Hit snow about 2 miles in and hiked about .5 miles past that point in slushy snow. It was tricky and we turned back about halfway to the summit. Definitely doing to do it again."
18,2019-04-20,[''],"me and my oldest daughter did this trail every weekend last summer,  from April until August. I was preparing for a long trip in the uintas.  beautiful..."
19,2018-09-06,[''],Trail is closed (8/31/18) due to a Bear in the area
20,2018-07-12,['hiking'],"Did this as a night hike, on a moonless night. If you can do this at night I highly recommend it. This was easily one of my favorite trails, this close to town. We left at roughly 1:30 am. Got to the top around 4:30-5:00. Watched the sun come up and got some great pics. I went with a friend and recommend you don't do this one alone if possible.

The trail is very steep in spots and has a lot of rocks in it, but it's not so bad.

On the way down we got to see all of the scenery. It's absolutely beautiful. We also saw a lot of deer, an elk, and tons of cows. At night our headlamps lit up the eyes of the cows, it was quite unnerving to just see their eyes.

There are bears in this area so bring some Bear Spray.

Bottom line it was one of my favorite hikes, so far, this summer."
21,2018-06-30,['hiking'],"Love this hike, but got quite the scare today when I came across a bear and two cubs on trail. Be safe! https://wildlife.utah.gov/learn-more/bear-safety.html"
22,2018-06-28,['hiking'],"Not as hard as expected, I hiked it at night and made it to the peak about two hours before sunrise. And what a view! It took me 3 hours to him up and 2 hours to hike down. I would definitely recommend it."
23,2018-06-27,['hiking'],Hiked this with my dog today and it was incredible!  Got to the top in a little less than 4 hours and down in 2. We are quick hikers but just want to give some reference. When you get to the top saddle go left and you’ll almost walk all the way around the peak then go up. Enjoy!
24,2018-06-23,[''],"This is one of my favorite hikes. I hike it every spring and fall. Every time I’ve hiked it I’ve seen something new. Moose, wildflowers, elk. All the other reviews are spot on. Every time I hike it I’m reminded that you earn every mile!"
25,2018-06-03,['hiking'],"Snow is nearly all gone (opposed to the post from 3 weeks ago). Hike was great! There is some ‘ice’ but mostly snow past the ‘lake’ (pond? Large puddle?), but only for a short stretch. I did the hike in tennis shoes and got to the top just fine. Though if you know anything about this hike, the full trip is almost constant uphill, not for the faint of heart. With the little snow that’s left past the pond, we did get to slide down the snow for a quick descent, opposed to the occasional slippage on the way up at that point.
With a half hour spent at the top, and another 0.5-1 hour nap at the pond, it took us almost 8 hrs exactly to get to the top and back, and we weren’t going a slow pace on the way up. It was around 4 hrs to get to the top (including my first longer nap I took at the pond), but we took our time at the top and had a normal distracted person pace (absorbing the environment) on our way down."
26,2018-05-07,[''],"Made it to the lake. You need snow shoes.   Over 4 feet in some places.  The lake is not frozen, but it is all slush. tons of snow up there. snow starts at 7000 ft. happy hiking!"
27,2018-03-18,['snowshoeing'],"Went up to maple lake and camped the night there. The snow up there is untouched and we were probly the first people since November to be up that high. Beautiful this time of year. Had to start from the mouth of maple canyon though and the one way journey took us about 7 hours. 12+ inches of powder once you get above 6,000 ft"
28,2018-01-29,['snowshoeing'],"I tried this trail a couple of days ago right after a fresh snowfall. Maple Canyon was closed at the mouth so I had to hike up to the trailhead at Whiting Campground adding a few extra miles. I made it about halfway to the peak and hit my turnaround time. It was slow going blazing a trail in the untouched snow, but was a lot of fun. I want to try it again when I can move a little faster."
29,2017-10-09,[''],"I may be biased because it overlooks my hometown and childhood, but what a great hike! The last assent to the peak is probably the hardest part, but the view well worth it!"
30,2017-09-24,[''],it's a really hard hike. I have done it twice. steep grade to the lake/puddle then really steep to the peek. in late evening I ran in to moose on my way down. great views.
31,2017-08-07,['hiking'],"This is a hard hike in my opinion. It really is up hill pretty much the entire way, and the further up you go, the more rocky and unmarked the trail becomes. There are times that I have wondered if I was still on the right path. Not a trail I would take my kids on until they were a little older and had some good practice to build endurance. 

The views are great once you hit the lake (or puddle, depending on the year and season). I've never gone all the way to the peak marker, I just stop at the lake. Next time I'll go all the way. 

Despite the difficulty, I've done this trail several times and I'm always glad I did."
32,2017-08-06,['hiking'],"This hike is uphill the entire time with few exceptions. After mapping it out in detail it is 5.3 miles to the top, however, its a tedious 5.3 miles. Harder than timp in my opinion. Very pretty though all the way up and you go through forests, lakes and wildflower meadows."
33,2017-07-25,['backpacking'],"Consistently steep and rocky the whole way, but was well worth the effort.  Beautiful views of the Valley, Spanish Fork canyon, Diamond Fork, etc.  
The wildflowers were literally EVERYWHERE.  Very nice to look at, but when I say everywhere I mean even spilling into the trail.  In many parts we had to walk through foliage as tall as me (I'm 6 feet tall) that would almost completely cover the trail.
We camped at the lake on a flat, grassy spot (the only good place we could find to pitch a tent).
It does get a bit confusing after the lake.  A large tree had fallen over the trail which has led a lot of hikers to form their own trail leading only to a snow field (very small when we were there).  When you come back down you can see where the trail should be.
I would rate this as harder than Timp even though it is shorter, but still well worth the effort."
34,2017-07-21,['hiking'],"Like everyone else has said, it's steep and rocky the whole way. It's also very overgrown at parts. The views and wildflowers are AMAZING and make it totally worth it. I hiked it today (July 20) and there was no snow.
As a side note, I think the trail may be slightly longer than advertised. Two separate distance trackers got it closer to 12 miles than 10.7. Could be wrong though."
35,2017-07-04,['hiking'],"I did this trail a week ago. We started at 2:20am and went at a decent speed with a fairly athletic group and got to the saddle a little before 6a. From there I caught the sunrise and the other half of the group found a way around the snow to the summit. The last climb to the saddle was pretty scketchy with the snow, but otherwise a great hike. Pretty steep and consistently rocky the whole way. Views and wildflowers made it worth it!"
