,Date,Tags,Comments
0,2019-08-31,['hiking'],I recommend starting at the 27th street trailhead but be warned there is no actual parking. You will be on the street. The trail can be confusing to get to so use the gps. The trial follows Malans until a small wooden bridge and then continues into the canyon where Malans heads up to the south. It is shady and follows a creek. There was no official end. There is no waterfall. We ended at a large rock cliff. It was moderately difficult and took about an hour to get to the top and 45 mins to come down with less experienced hikers. I wasn’t overly impressed. I hear you can continue to hidden peak which we chose not to do. There are better hikes in the area with better sites. 
1,2019-08-28,"['trail running', 'rocky']",
2,2019-08-25,"['hiking', 'rocky']",This trail is not for the faint of heart. It’s a steep uphill climb the whole way. A lot of it is rocky. You’ll want to follow the map because it’s easy to get lost or take the wrong turn (I did several times). Most of the trail is shaded and there was a bit of a stream. Definitely dog friendly as well.
3,2019-08-24,"['hiking', 'over grown', 'rocky']",This sounds s one of my favorites!  The trail can be tricky in places.  Kept the map open on my phone.  But the beautiful scenery and cool canyon breeze are more than worth it!
4,2019-08-07,"['hiking', 'rocky']","Didn't find the waterfall, but got to climb on some cool rocks so still worth it!"
5,2019-07-06,"['hiking', 'over grown']","great climb, quite an uphill. the end was a little anticlimactic. but for the most part you have a pretty hike through the trees following the water. it is a bit over grown, definitely doable but I am happy I wore long pants."
6,2019-06-23,['hiking'],"Great hike and views, but the trail to the waterfall is grown over completely. Could not access the waterfall, so we just took another trail. Would still come back as there are so many trails in this area. "
7,2019-06-13,['hiking'],"I love this trail! It’s still really wet in places, so be sure to take that into consideration when choosing footwear. The wildflowers were beautiful as you get closer to the top, and the views are lovely. We were so close to completing it, but we had to head back down as it was quickly getting dark. "
8,2019-06-03,"['hiking', 'over grown']",
9,2019-05-19,"['muddy', 'washed out']","Did this today and stopped about a quarter mile shy of the endpoint when the weather took a turn for the worse. Stream is running over lower parts of the trail, but not too bad if you have waterproof shoes, but the trail had very deep mud after the second water crossing (the one after the log bridge). I was very grateful for my trekking poles on my way back down! "
10,2019-05-17,['hiking'],Great hike. Went up Hidden Valley and came down Taylor Canyon. Had to cross the stream 3 times on the way down. Not easy with rushing water but it made it exciting. I would not take a kid on this hike until stream can easily be crossed. We were so thankful we did not have our 6 yr old with us!
11,2019-05-06,['hiking'],"We hiked down Taylor Canyon from the top of Hidden Valley as part of a loop ending at 22nd Street trailhead. Nice hike overall, with a few muddy sections and some overgrown bush. There aren't any real bridges for the few creek crossings, so waterproof boots are highly recommended. There was no snow on the 6th of May, 2019."
12,2019-04-29,['hiking'],"I entered from the 27th Street trailhead.  The trail has a great deal of up, and gets steeper near the top.  As of this week, there is a lot of water, and just a minimal amount of snow starting at about 6,200ft.  Highly recommend waterproof boots, at least mid-rise.  Next to no traffic at the higher elevations.  I fell just shy of seeing the waterfall as my trek, while a maintained trail,  departed north from the AllTrails trek.  I stopped 100' shy of the target elevation."
13,2019-04-05,"['hiking', 'snow']",
14,2019-03-30,"['mountain biking', 'rocky']","Great time and a nice easy beginner start, then gets to a rocky intermediate trail with large berms and some large rocks to jump off of. 

It's also a great vew over Weber county especially in the late afternoon. the trails are very well maintain but being that it is the beginning of the season you will get some weed wacking on hands."
15,2019-03-10,"['hiking', 'snow']","Trail had a good bit of snow towards the top of the Canyon trail, and was getting a little slick towards the bottom on way down. We did ok with just boots, but could have used snowshoes. Nice and quiet and pretty!"
16,2019-02-23,[''],Wonderful trail for a moderate hike! Even in the snow the hike was not difficult but towards the latter part gave us a nice incline to go up. 10/10 would try again.
