,Date,Tags,Comments
0,2019-09-07,['hiking'],Beautiful views around every corner!!! One of our favs!!!
1,2019-09-04,['hiking'],I did this trail clockwise and was happy I did! Wall Lake was an excellent grand finale of lakes. Trail was easy-moderate.
2,2019-09-02,['hiking'],Great trail. So much fun. Kids jumped the cliffs on wall lake.  Such a beautiful hike. Highly recommend. 
3,2019-09-02,['hiking'],"Absolutely a great trail, couldn’t believe how many alpine lakes there are.  It’s rated easy, but in reality it should be closer to moderate due to the amount of incline there is.  Went first week of September and absolutely no bugs at all.  You come across some shade but be prepared for a good amount of sun exposure."
4,2019-09-01,"['hiking', 'rocky']",
5,2019-08-30,['hiking'],so this is a poorly marked trail and alltrails lost GPS on my Pixel multiple times. That lead to a labyrinth of wrong trails and loads of backtracking all day. Don't rely on this map. Go with someone that's been on this trail before.
6,2019-08-29,['hiking'],"One of my favorite hikes. Every corner has a new lake and beautiful scenery. The trail is very entertaining, some rocks to climb around but not annoying. Highly recommend "
7,2019-08-25,['hiking'],"Beautiful hike! Got to see a lot of lakes, and wildflowers and not too many other people considering the busyness at the trailhead! We went counter clockwork. Camped at Three divide lakes. We never found a trail from the divide lakes to twin lakes, I’m guessing there is one just didn’t find it, just went over land! At twin lakes we caught the trail to take us down to Wall lake and the trail head. Mosquitoes are pretty much gone for the year! "
8,2019-08-21,['hiking'],Love this trail. We went to Ibantik then came back and finished the loop. Everywhere you look there is a lake or pond. If you just climb up a little on the Ibantik trail you can see all the lakes from above. 
9,2019-08-17,['hiking'],"This area is gorgeous and we saw so many lakes. There are a few trailheads at the parking lot, so to go counterclockwise like most people, start at the Clyde Lake trail. We went clockwise to get most of the elevation gain over with - this makes it a firmly moderate trail. The only issue is that it's easy to lose the trail going this way, and the fork to go to Three Divide Lakes is nonexistent. I had to use the All Trails map several times to stay on route. When we did find the trail to the three lakes, several parties were camped right on the trail, which is annoying. We didn't have any trouble with bugs until dusk. It's an awe-inspiring area to explore, and I highly recommend it. Just have the All Trails map downloaded. "
10,2019-08-15,['hiking'],"Great hike! There were a lot of cars in the parking lot but we didn't see very many people on the trail. Lots of lakes along the way, which was great for my dog who loves to cool off on a hike. So many beautiful yellow and white wildflowers! We were prepared with bug spray but didn't need to use it. Didn't see any mosquitos. Not a difficult hike."
11,2019-08-11,['hiking'],"This is such a pretty trail, easy loop with little elevation gain. Great trail for backpacking overnight!"
