,Date,Tags,Comments
0,2019-09-07,['hiking'],This place is quiet and beautiful steep but worth it. 
1,2019-09-06,['hiking'],"Beautiful hike most of the way, and then you get to the actual lake itself, and there's a great big dam there marring the view."
2,2019-09-04,['hiking'],fantastic hike.  got to see a moose with baby in the lake at the top. worth the effort!
3,2019-09-04,['hiking'],I started at silver lake and decided to continue up to twin lakes. Parts near the top were tough for me - lots of rocks and elevation gain. But worth it! Gorgeous up at the twin lakes and I was able to see a momma moose and her calf in the lake. I’m not a regular hiker so probably easier for those that hike regularly!
4,2019-09-03,['hiking'],Beautiful alpine lake.  Hike up the trial alongside it for best views; it’s most impressive from above.  Lots of ski signs and some ski lifts make it feel less remote and natural than other alpine lakes in the area. 
5,2019-09-01,"['hiking', 'rocky']","Amazing aspens and wild flowers throughout. Many chipmunks, squirrels and bumblebees. Nice and shady at around 5pm."
6,2019-09-01,"['hiking', 'rocky']",
7,2019-09-01,['hiking'],"Very cool trail. Starts in a very crowded Silver Lake loop. End of August still had a great array of wild flowers. It was 100 degrees in the valley but only low 80’s up top so it was quite bearable even mid day. There was a bit of shade but not much. The lake at the top has other trails to explore. In a few days this hike I’ll have a ton of color with the trees changing. Should be a great show. We also saw a moose at the bottom at Silver Lake loop, who was hurriedly trying to criss the marsh because there were so many people around."
8,2019-08-25,"['hiking', 'rocky']",
9,2019-08-24,['hiking'],"a little steep and a bit rocky, but the lake is beautiful. the walk past Silver Lake was easy and a nice way to start it. I looped it up with the Sister Lakes and Dog Lake. not too strenuous, but this was a good way to start. got most of the elevation out of the way early. might not be great for little kids since it's steep, but it's short."
10,2019-08-20,['hiking'],steep at places but worth the hike up to the lake. Twin Lake is very beautiful and peaceful. We spent a few hours up at the lake enjoying the peace and quiet.  
11,2019-08-15,"['hiking', 'bugs', 'rocky']",
12,2019-08-11,"['hiking', 'rocky', 'scramble']","quite Rocky, but lots of summer wildflowers! take breaks after each scramble and you'll knock it out in no time."
13,2019-08-08,['hiking'],Perfect trail for out-of-town family and friends! Still some wildflowers too! 
14,2019-08-07,['hiking'],The wildflowers on this hike (in August) were beautiful!  The hike starts on the flat loop trail that goes around Silver Lake and goes into rapid ascent from there. 
15,2019-08-06,['hiking'],"This trail is pretty steep actually. I recommend doing the whole Brighton Lakes Loop if you can, "
16,2019-08-06,"['hiking', 'rocky']",beautiful but the trailhead is EXTREMELY crowded. pretty view at the lake though 
17,2019-07-19,['hiking'],It’s a fun hike. 
18,2019-07-18,[''],"Most of the trail is just going up. The first mile isn’t so bad, the trail is pretty clear & leveled. It gets really steep closer to the lake. One path has a lot of rocky terrain but there’s an easier trail next to it that can be used to avoid the rocks. I was definitely dying a lot in the steeper areas but a lot of breaks helped. It was shady for most of the part & a lot of logs/rocks to rest on. There were a lot of mosquitoes, so I’d suggest repellent. Overall, the hike was worth it. The lake was beautiful. "
19,2019-07-17,['hiking'],"Steep, but lovely! "
20,2019-07-16,['hiking'],"I must not be as resilient at 49 years old as 4 years old because this wasn't an easy hike for me. The trail is accessed off the ""Solitude Lake Trail"" which is a tourist attraction and can be very busy. About the first mile is easy, a little rocky and with a gentle incline that wraps around the mountain. The scenery is breathtaking, and then the steep incline over rocks is breathtaking, and not in a good way. I would say this section, that is about .70 miles of the trail is difficult, especially in the afternoon sun. Thankfully there was some shade and big rocks to take a rest on. Once over the top, near the lake, it levels out and is beautiful. This is a hike worth doing.   "
21,2019-07-15,['hiking'],"Beautiful and fun for kids! A little rocky, but my 3 and 5 year old did it with a little hand holding! "
22,2019-07-13,['hiking'],Nice easy hike for kids. If your getting baked in the valley heat and want a quick escape than this place is for you. 
23,2019-07-11,"['hiking', 'bugs', 'rocky']","Great hike, had the lake all to myself. Started around 5:00, had mostly shade all the way to the top. Lots of bugs and was not prepared with repellent this time."
24,2019-07-08,"['fishing', 'bugs', 'rocky']","was a fun hike to the top. Did this July 4th and it was great as not a lot of people continued past silver lake. This is a steep climb on rocky terrain, but the lake is worth it. take a hammock and fishing pole to enjoy for hours."
25,2019-06-30,['hiking'],Quick hike. steep at times.
26,2019-06-25,"['hiking', 'snow']",Lake was still 70% frozen as of 6/24. Trail has spots of snow but you can navigate around it for the most part. Definitely wouldn’t go in regular sneakers. Hiking shoes and a pole made it OK in snowy spots. With the warm weather this week the lake should melt pretty quick. 
27,2019-06-24,['hiking'],"The last half-mile was a wall of snow, so we had to work our way around it to the lake. (Also still in tons of snow—spikes were needed to get my 6-year-old up there). We downloaded the trail map, but as long as you keep going UP and stay near the brook, you’ll find it. "
28,2019-06-16,"['hiking', 'snow']",Still lots of snow on the trail. You can't see the trail much of the way so make sure you've downloaded the map. Spikes not needed but poles were helpful.
29,2019-05-18,['hiking'],
30,2018-10-20,['hiking'],"Beautiful hike.  Packed snow and Ice, super slippery, micro spikes needed.  Oct 19."
31,2018-10-13,['surfing'],Hello twins. ;)
32,2018-10-11,['hiking'],"This is an easy hike. Really cool, because easy and good views. Straight forward, but heavily trafficked."
33,2018-09-29,['hiking'],Challenging climb with elevation and sections of rock trail. Completely worth it for the beautiful views! #doinghardthings
34,2018-09-29,['hiking'],I really liked this hike.   The fall colors right now are really coming out...alot of yellow.   I extended the hike by taking a short side path to the left that led to a really nice overlook of silver lake.  I also walked around Twin Lakes after I got up there.  Another cool thing that happened is that on my way back after you get to the boardwalk again I saw my first moose.  She was hanging out just to the side of the trail munching on leaves.  Very scenic trail especially during this time of year.   Give it a shot.
35,2018-09-09,['hiking'],"Beautiful! We did a 2.8 mile loop. Started at the base of Milly up to Twin Lakes. Then hiked back down to Silver Lake and up the road back to Brighton. Steep, but worth it!"
36,2018-09-08,['hiking'],"We did the shorter version of this hike. (You can start at Milly Lift) The trail is STEEP, but easy enough when it comes to footing. The true gem is when you get to Twin Lake. It's like stepping into a Thomas Kinkade painting. The water is glassy and the trees and foliage make this place a true Haven. If you're a true trooper you'll top it off by jumping in the Lake. Be warned: it's VERY cold."
37,2018-09-06,[''],Nice hike. Twin lake located within solitude ski area
