,Date,Tags,Comments
0,2019-07-01,['mountain biking'],Awesome views excellent mountain biking. Some snow patches made if difficult but over all very nice ride!
1,2018-08-06,['trail running'],My friend brought me up here for a trail run and it was so beautiful and peaceful... perfect for a trail run. We even saw three deer and a moose.
2,2018-08-05,['mountain biking'],Awesome trail
3,2018-07-26,[''],Best mountain bike trail in the salt lake area. The views are awesome the whole way. The trail is somewhat technical in some spots but is very doable.
4,2018-07-14,['mountain biking'],"Beautiful trail with awesome views. A bit dusty, but it's been dry."
5,2018-06-13,['hiking'],
6,2017-10-22,[''],"Save this one for next year when leaves are at their peak! Now the views were drab, awaiting winters blanket of snow. Actually took the trail to the right to Jupiter Peak."
7,2017-08-14,['mountain biking'],Mtn bike from Guardsman; beautiful trail and ride; don't give many 5 star ratings but this trail is a must do; was an odd day so rode out to Pinebrook (car shuttle)
8,2017-08-11,['mountain biking'],One of my favorite mountain bike trails in the wasatch front! Amazing views the whole way.
9,2017-07-22,['hiking'],"Awesome trail! It's nice and cool in the summer and absolutely beautiful. There are plenty of wildflowers and impressive views everywhere. The trail is not difficult - this hike/ride is a nice, relaxing way to spend an afternoon."
10,2017-07-05,[''],"Great trail, loose rock but inclines are moderate. Amazing views of both park city and deer valley."
11,2017-06-12,[''],We hiked till desolation lake and camped there for the night. Gorgeous views.
12,2017-03-22,['mountain biking'],"The best ride of the region. Usually ridden from Guardsman to Canyons or SLC this trail has everything including magnificent views, speed, technical exposed sections and climbs.  This ride is truly memorable."
13,2016-08-12,[''],Great ride ! Really dusty though trails a little slippery due to loose dry dirt . Still awesome ride though . Hit ricochet on way down which was so badass
14,2016-07-31,['hiking'],"One of the most stunning hikes I've ever done. Breathtaking views pretty much the whole 12 miles looking over Park City, Big Cottonwood, and Millcreek Canyon. Lots of wildflowers right now. Started at Guardsman and had a shuttle car at the top of Millcreek Canyon which made the majority of the hike downhill and very easy, just a few fairly steep uphills mostly towards the start."
15,2016-04-24,[''],One of my favorite biking trails. Very beautiful and super fun.
16,2015-09-19,['hiking'],Started at Guardsman Pass and hiked to the summit of Scott Hill. This trail is great! Puke Hill isn't so bad if you're just hiking it but as I was coming down and all the mountain bikers were riding up I could understand why it's called that. Did this September 19th when all the trees were turning for fall. So gorgeous! I'd definitely do this one again. Would love to hike from Guardsman to the Park City overlook.
17,2015-08-22,['mountain biking'],This trail is definitely my favorite so far! We shuttled to the top and it was definitely worth the $12!!
18,2015-08-04,['hiking'],I really enjoyed hiking this trail because of the continuous views of Big Cottonwood Canyon and Park City. Didn't start hiking until late evening on a Friday night so there was less that a dozen mountain bikers on the trail. All of them were friendly and polite making sure that we were aware they were coming from behind.
19,2014-11-29,['hiking'],It was the first real snow of the year and I got to see the best of both seasons today.  Fall and Winter wrapped up in one.  It was an amazing hike with great views of the Valley and the Canyons below.  It was my first time on this trail and from what I understand this usually is a busy trail.  Today we had it to ourselves.  It was Awesome!!!
