,Date,Tags,Comments
0,2019-09-05,['hiking'],"Great trail with awesome views of the Great Salt Lake including amazing sunsets.  It is an easy, winding and gradual assent and I would rate this as an easy trail open to all ability levels.  There are benches along the way where you can sit and rest if needed.  It is a multi use trail shared with mountain bikes so be alert and share the space.  The signage can be confusing as some routes down the mountain are designated for mountain bikes only.  Check the map at the trailhead and familiarize yourself with these routes as the signs on the trail are not as clear as they could be. The trail is probably 30% shaded with the rest of the trail in the open so it can get hot. Bring a hat and water based on the sun exposure when you go.  There is parking and a seasonal bathroom at the trailhead as well as a group shelter if you need a place to meet your hiking friends.  Give it a try! "
1,2019-09-04,['trail running'],"Not too steep, with great views"
2,2019-08-28,['hiking'],"Loved this short little hike! It’s a great trail to stroll while getting gorgeous views of the valley the whole way up. Obviously most of the flowers aren’t blooming this time of year, but there were still quite a few. Great for all ages and fitness levels. Will definitely be doing again."
3,2019-08-15,['hiking'],nice easy walk...great weekday hike 
4,2019-08-11,"['hiking', 'no shade']","I like hiking in this area because the views are gorgeous. That being said, there is not much shade on this trail, and I ended up taking the shortcut back to trailhead because I just needed to get out of the sun. This is a relatively short hike with just enough inclines to get your heart pumping. I didn't have any issues with bugs and while the trail is narrow, I wouldn't consider it overgrown."
5,2019-07-28,"['hiking', 'over grown']",
6,2019-07-24,['hiking'],"great beginner trail
"
7,2019-07-23,"['hiking', 'bugs', 'over grown']",Super pretty trail that presents beautiful views of the valley. Very buggy and a bit overgrown.
8,2019-07-19,"['hiking', 'bugs']",
9,2019-07-17,['hiking'],"This hike was easy and doable for all ages. Dogs are also welcomed. Be careful with bikers though. They are EVERYWHERE and they are coming in fast! Also, the trail was very confusing on what was and what wasn’t the primary hike trail. Make sure you read the signs! They are lots of help! "
10,2019-07-07,[''],this trail is in the backyard of a residential area. excellent view of 4th of July celebration. parking is limited. lots of traffic on the way out of the residential area. 
11,2019-06-29,['hiking'],beautiful hike!
12,2019-06-24,['hiking'],"Fun hike with kids. I did the Wild Rose Loop trail with my kids 10, 8, 4 and 2.5 in a backpack although I think my 2.5 year old could do this trail, it was just for convenience. Took about 1.5 hours to do the 2 mile loop at a very leisurely pace and a few stops to look at the valley, could probably do this in 40 minutes if motivated. "
13,2019-06-16,['hiking'],"This was a really fun trail. We took the kids and the dogs and they had fun but we probably should have brought a little more water for the dogs since we didn’t come across any rivers or anything. The flowers and the views were great! Easy hike, lots to look at. "
