,Trail_Name,Urls
0,Donut Falls Trail,https://www.alltrails.com/trail/us/utah/donut-falls-trail
1,Bells Canyon Trail to Lower Falls,https://www.alltrails.com/trail/us/utah/bells-canyon-trail-to-lower-falls
2,Adams Canyon Trail,https://www.alltrails.com/trail/us/utah/adams-canyon-trail
3,Fifth Water Hot Springs Trail,https://www.alltrails.com/trail/us/utah/fifth-water-hot-springs-trail
4,Cecret Lake Trail,https://www.alltrails.com/trail/us/utah/cecret-lake-trail
5,Lake Mary Trail,https://www.alltrails.com/trail/us/utah/lake-mary-trail
6,Mount Timpanogos via Timpooneke Trail,https://www.alltrails.com/trail/us/utah/mt-timpanogos-timpooneke-trail
7,Grandeur Peak East Trail from Church Fork,https://www.alltrails.com/trail/us/utah/grandeur-peak-east-trail-from-church-fork
8,Waterfall Canyon Trail,https://www.alltrails.com/trail/us/utah/waterfall-canyon-trail
9,Battle Creek Falls Trail,https://www.alltrails.com/trail/us/utah/battle-creek-falls
10,Horsetail Falls Trail,https://www.alltrails.com/trail/us/utah/horsetail-falls-trail
11,Desolation Trail to Salt Lake Overlook,https://www.alltrails.com/trail/us/utah/desolation-trail-to-salt-lake-overlook
12,Willow Heights Trail,https://www.alltrails.com/trail/us/utah/willow-heights-trail
13,Lake Catherine Via Brighton Lakes Trail,https://www.alltrails.com/trail/us/utah/lake-catherine-via-brighton-lakes-trail
14,Scout Falls via Mount Timpanogos Trail,https://www.alltrails.com/trail/us/utah/scout-falls-trail
15,Lake Desolation Mill D North Trail,https://www.alltrails.com/trail/us/utah/lake-desolation-mill-d-north-trail
16,Dog Lake via Big Water Trail,https://www.alltrails.com/trail/us/utah/dog-lake-via-big-water-trail
17,Rattlesnake Gulch Trail,https://www.alltrails.com/trail/us/utah/rattlesnake-gulch-trail
18,Lisa Falls Trail,https://www.alltrails.com/trail/us/utah/lisa-falls-trail
19,Neffs Canyon Trail,https://www.alltrails.com/trail/us/utah/neffs-canyon-trail--2
20,Bridal Veil Falls Trail,https://www.alltrails.com/trail/us/utah/bridal-veil-falls-trail--2
21,Twin Lakes Trail,https://www.alltrails.com/trail/us/utah/twin-lakes
22,Silver Lake Loop Trail,https://www.alltrails.com/trail/us/utah/silver-lake-loop-trail
23,Wind Cave Trail,https://www.alltrails.com/trail/us/utah/wind-cave-trail
24,Heughs Canyon Trail,https://www.alltrails.com/trail/us/utah/heughs-canyon-trail
25,Ferguson Canyon Trail to Upper Meadow,https://www.alltrails.com/trail/us/utah/ferguson-canyon-trail-to-upper-meadow
26,Centerville Canyon Via Deuel Creek Trail,https://www.alltrails.com/trail/us/utah/centerville-canyon-via-deuel-creek-trail
27,Wild Rose Trail,https://www.alltrails.com/trail/us/utah/wild-rose-trail
28,Bloods Lake Trail,https://www.alltrails.com/trail/us/utah/bloods-lake-trail--3
29,Temple Quarry and Little Cottonwood Creek Trail,https://www.alltrails.com/trail/us/utah/temple-quarry-and-little-cottonwood-creek-trail
30,Mill Creek Pipeline Trail,https://www.alltrails.com/trail/us/utah/mill-creek-pipeline-trail
31,Bald Mountain Trail,https://www.alltrails.com/trail/us/utah/bald-mountain-trail
32,Mount Aire Trail,https://www.alltrails.com/trail/us/utah/mount-aire-trail
33,Brighton Lakes Loop,https://www.alltrails.com/trail/us/utah/brighton-lakes-loop
34,Malan's Peak Trail,https://www.alltrails.com/trail/us/utah/malans-peak
35,Lake Catherine Via Catherine Pass Trail,https://www.alltrails.com/trail/us/utah/lake-catherine-via-catherine-pass-trail
36,White Pine Lake Trail,https://www.alltrails.com/trail/us/utah/white-pine-lake
37,Lake Solitude Trail,https://www.alltrails.com/trail/us/utah/lake-solitude-trail
38,Grove Creek and Battle Creek Loop Trail,https://www.alltrails.com/trail/us/utah/grove-creek-and-battle-creek-loop-trail
39,Dog Lake Mill D North Fork Trail,https://www.alltrails.com/trail/us/utah/dog-lake-mill-d-north-fork-trail
40,City Creek Canyon,https://www.alltrails.com/trail/us/utah/city-creek-canyon
41,Grotto Falls Trail,https://www.alltrails.com/trail/us/utah/grotto-falls-trail
42,Buffalo Peak Trail,https://www.alltrails.com/trail/us/utah/buffalo-peak-trail
43,Big Springs Hollow Trail,https://www.alltrails.com/trail/us/utah/big-springs-hollow-trail
44,Indian Trail,https://www.alltrails.com/trail/us/utah/indian-trail
45,Albion Meadows Trail,https://www.alltrails.com/trail/us/utah/albion-meadows-trail
46,North Peak Trail and Mount Nebo Trail,https://www.alltrails.com/trail/us/utah/north-peak-trail-and-mount-nebo-trail
47,Ibantik Lake Trail,https://www.alltrails.com/trail/us/utah/ibantik-lake-trail
48,Tibble Fork Loop Trail,https://www.alltrails.com/trail/us/utah/tibble-fork-loop-trail
49,Three Divide Lakes Trail,https://www.alltrails.com/trail/us/utah/three-divide-lakes-trail
50,Davis Creek Trail,https://www.alltrails.com/trail/us/utah/davis-creek-trail--3
51,Lambs Canyon Trail,https://www.alltrails.com/trail/us/utah/lambs-canyon-trail
52,Holbrook Canyon Trail,https://www.alltrails.com/trail/us/utah/holbrook-canyon-trail
53,Cecret Lake from Albion Basin,https://www.alltrails.com/trail/us/utah/cecret-lake-from-albion-basin
54,Wheeler Creek Trail,https://www.alltrails.com/trail/us/utah/wheeler-creek-trail
55,Dog Lake via Big Water and Little Water Loop,https://www.alltrails.com/trail/us/utah/dog-lake-via-big-water-and-little-water-loop
56,Gobblers Knob via Alexander Basin Trail,https://www.alltrails.com/trail/us/utah/gobblers-knob-via-alexander-basin-trail
57,Lost Creek Falls Trail,https://www.alltrails.com/trail/us/utah/lost-creek-falls-trail
